REGION,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NR,ZONE_NR,PROT,METERS_COMPLETED,SPECIES_CD,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE,survey_type,analysis_group,strat_cora
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,HEL CUCU,1,0,32,10,3,10,0,PB,A,NCRMP,AAAAA_AAA,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ACR CERV,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ACR CERV,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ACR PALM,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,7,5,1,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,4,4,1,0,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,10,5,2,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,12,8,3,0,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,6,5,2,0,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,5,4,1,0,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,12,5,2,10,0,T,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,8,6,2,0,0,T,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA AGAR,1,0,22,10,2,20,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA FRAG,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA FRAG,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA HUMI,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA HUMI,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA LAMA,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA LAMA,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,AGA SPE.,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,CLA ABRU,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
