PRIMARY_SAMPLE_UNIT,NEW_PSU,NEW_STN,YEAR
W1172,9500,1,2022
W1177,9501,1,2022
W1178,9502,1,2022
W1179,9503,1,2022
W1180,9504,1,2022
W1182,9505,1,2022
W1184,9506,1,2022
W1185,9507,1,2022
W1186,9508,1,2022
W1188,9509,1,2022
W1189,9510,1,2022
W1190,9511,1,2022
W1191,9512,1,2022
W1192,9513,1,2022
W1193,9514,1,2022
W1194,9515,1,2022
W1195,9516,1,2022
W1196,9517,1,2022
W1197,9518,1,2022
W1198,9519,1,2022
W1199,9520,1,2022
W1200,9521,1,2022
W1201,9522,1,2022
W1202,9523,1,2022
W1203,9524,1,2022
W1205,9525,1,2022
W1206,9526,1,2022
W1207,9527,1,2022
W1208,9528,1,2022
W1209,9529,1,2022
W1210,9530,1,2022
W1211,9531,1,2022
W1212,9532,1,2022
W1213,9533,1,2022
W1214,9534,1,2022
W1215,9535,1,2022
W1216,9536,1,2022
W1217,9537,1,2022
W1218,9538,1,2022
W1219,9539,1,2022
W1220,9540,1,2022
W1221,9541,1,2022
W1222,9542,1,2022
W1223,9543,1,2022
W1224,9544,1,2022
W1225,9545,1,2022
W1226,9546,1,2022
W1227,9547,1,2022
W1229,9548,1,2022
W1230,9549,1,2022
W1231,9550,1,2022
W1232,9551,1,2022
W1233,9552,1,2022
W1234,9553,1,2022
W1235,9554,1,2022
W1236,9555,1,2022
W1238,9556,1,2022
W1240,9557,1,2022
W1241,9558,1,2022
W1242,9559,1,2022
W1244,9560,1,2022
W1245,9561,1,2022
W1246,9562,1,2022
W1248,9563,1,2022
W1249,9564,1,2022
W1250,9565,1,2022
W1251,9566,1,2022
W1252,9567,1,2022
W1253,9568,1,2022
W1255,9569,1,2022
W1256,9570,1,2022
W1257,9571,1,2022
W1258,9572,1,2022
W1259,9573,1,2022
W1260,9574,1,2022
W1262,9575,1,2022
W1263,9576,1,2022
W1264,9577,1,2022
W1265,9578,1,2022
W1266,9579,1,2022
W1269,9580,1,2022
W1270,9581,1,2022
W1271,9582,1,2022
W1272,9583,1,2022
W1273,9584,1,2022
W1275,9585,1,2022
W1276,9586,1,2022
W1279,9587,1,2022
W1281,9588,1,2022
W1282,9589,1,2022
W1283,9590,1,2022
W1284,9591,1,2022
W1285,9592,1,2022
W1286,9593,1,2022
W1287,9594,1,2022
W1288,9595,1,2022
W1289,9596,1,2022
W1290,9597,1,2022
W1291,9598,1,2022
W1294,9599,1,2022
W1295,9600,1,2022
W1296,9601,1,2022
W1297,9602,1,2022
W1299,9603,1,2022
W1300,9604,1,2022
W1301,9605,1,2022
W1302,9606,1,2022
W1303,9607,1,2022
W1304,9608,1,2022
W1306,9609,1,2022
W1307,9610,1,2022
W1308,9611,1,2022
W1309,9612,1,2022
W1310,9613,1,2022
W1311,9614,1,2022
W1312,9615,1,2022
W1313,9616,1,2022
W1314,9617,1,2022
W1315,9618,1,2022
W1316,9619,1,2022
W1317,9620,1,2022
W1318,9621,1,2022
W1319,9622,1,2022
W1320,9623,1,2022
W1321,9624,1,2022
W1322,9625,1,2022
W1323,9626,1,2022
W1324,9627,1,2022
W1325,9628,1,2022
W1326,9629,1,2022
W1327,9630,1,2022
W1328,9631,1,2022
W1329,9632,1,2022
W1330,9633,1,2022
W1332,9634,1,2022
W1334,9635,1,2022
W1335,9636,1,2022
W1336,9637,1,2022
W1337,9638,1,2022
W1339,9639,1,2022
W1340,9640,1,2022
W1341,9641,1,2022
W1342,9642,1,2022
W1343,9643,1,2022
W1344,9644,1,2022
W1346,9645,1,2022
W1347,9646,1,2022
W1348,9647,1,2022
W1349,9648,1,2022
W1350,9649,1,2022
W1351,9650,1,2022
W1352,9651,1,2022
W1353,9652,1,2022
W1354,9653,1,2022
W1355,9654,1,2022
W1356,9655,1,2022
W1357,9656,1,2022
W1358,9657,1,2022
W1361,9658,1,2022
W1362,9659,1,2022
W1363,9660,1,2022
W1364,9661,1,2022
W1365,9662,1,2022
W1366,9663,1,2022
W1367,9664,1,2022
W1368,9665,1,2022
W1369,9666,1,2022
W1371,9667,1,2022
W1372,9668,1,2022
W1373,9669,1,2022
W1374,9670,1,2022
W1375,9671,1,2022
W1377,9672,1,2022
W1379,9673,1,2022
W1380,9674,1,2022
W1381,9675,1,2022
W1382,9676,1,2022
W1383,9677,1,2022
W1387,9678,1,2022
W1392,9679,1,2022
W1393,9680,1,2022
W1394,9681,1,2022
W1396,9682,1,2022
W1398,9683,1,2022
W1399,9684,1,2022
W1400,9685,1,2022
W1401,9686,1,2022
W2150,9687,1,2022
W2151,9688,1,2022
W2160,9689,1,2022
W2178,9690,1,2022
W2198,9691,1,2022
W2220,9692,1,2022
W2221,9693,1,2022
W2225,9694,1,2022
W2227,9695,1,2022
W2244,9696,1,2022
W2249,9697,1,2022
W2252,9698,1,2022
W2254,9699,1,2022
W2260,9700,1,2022
W2271,9701,1,2022
W2285,9702,1,2022
W2289,9703,1,2022
W2308,9704,1,2022
W2312,9705,1,2022
W2316,9706,1,2022
W3010,9707,1,2022
W3011,9708,1,2022
W3012,9709,1,2022
W3018,9710,1,2022
W3019,9711,1,2022
W3020,9712,1,2022
W3021,9713,1,2022
W3022,9714,1,2022
W3024,9715,1,2022
W3026,9716,1,2022
W3027,9717,1,2022
