PRIMARY_SAMPLE_UNIT,STATION_NR,NEW_STN,YEAR,count
W1172,12304,1,2022,42
W1172,12305,2,2022,45
W1177,12168,1,2022,56
W1177,12169,2,2022,69
W1178,12176,1,2022,69
W1178,12179,2,2022,67
W1179,12172,1,2022,55
W1179,12173,2,2022,45
W1180,12353,1,2022,67
W1180,12354,2,2022,57
W1182,12450,1,2022,74
W1182,12455,2,2022,61
W1184,12452,1,2022,62
W1184,12454,2,2022,50
W1185,12701,1,2022,57
W1185,12893,2,2022,51
W1186,12705,1,2022,77
W1186,12892,2,2022,75
W1188,12396,1,2022,59
W1188,12876,2,2022,59
W1189,12744,1,2022,71
W1189,12872,2,2022,82
W1190,12719,1,2022,111
W1190,12875,2,2022,116
W1191,12397,1,2022,62
W1191,12880,2,2022,61
W1192,12836,1,2022,118
W1192,12900,2,2022,87
W1193,12400,1,2022,80
W1193,12843,2,2022,54
W1194,12791,1,2022,109
W1194,12874,2,2022,165
W1195,12786,1,2022,81
W1195,12878,2,2022,79
W1196,12812,1,2022,98
W1196,12886,2,2022,74
W1197,12398,1,2022,76
W1197,12859,2,2022,87
W1198,12816,1,2022,72
W1198,12912,2,2022,63
W1199,12817,1,2022,72
W1199,12896,2,2022,63
W1200,12820,1,2022,101
W1200,12897,2,2022,78
W1201,12722,1,2022,54
W1201,12891,2,2022,51
W1202,12741,1,2022,72
W1202,12894,2,2022,74
W1203,12729,1,2022,49
W1203,12895,2,2022,52
W1205,12610,1,2022,51
W1205,12888,2,2022,56
W1206,10561,1,2022,95
W1206,10589,2,2022,92
W1207,12363,1,2022,79
W1207,12957,2,2022,84
W1208,12295,1,2022,102
W1208,12609,2,2022,64
W1209,10565,1,2022,47
W1209,10581,2,2022,50
W1210,10564,1,2022,73
W1210,10586,2,2022,83
W1211,10531,1,2022,82
W1211,10573,2,2022,87
W1212,10568,1,2022,77
W1212,10592,2,2022,53
W1213,10569,1,2022,75
W1213,10570,2,2022,82
W1214,10559,1,2022,94
W1214,10579,2,2022,106
W1215,12493,1,2022,68
W1215,12794,2,2022,66
W1216,12549,1,2022,99
W1216,12999,2,2022,78
W1217,12293,1,2022,100
W1217,12611,2,2022,95
W1218,12498,1,2022,45
W1218,12695,2,2022,46
W1219,12504,1,2022,62
W1219,12840,2,2022,60
W1220,12530,1,2022,82
W1220,12731,2,2022,87
W1221,12541,1,2022,52
W1221,12685,2,2022,58
W1222,12555,1,2022,64
W1222,13002,2,2022,65
W1223,10571,1,2022,74
W1223,10593,2,2022,65
W1224,10637,1,2022,50
W1224,10729,2,2022,54
W1225,10638,1,2022,46
W1225,10639,2,2022,43
W1226,12513,1,2022,77
W1226,12689,2,2022,79
W1227,12560,1,2022,48
W1227,13059,2,2022,44
W1229,12563,1,2022,53
W1229,13061,2,2022,53
W1230,12559,1,2022,59
W1230,13063,2,2022,49
W1231,10640,1,2022,96
W1231,10647,2,2022,74
W1232,13068,1,2022,45
W1232,13172,2,2022,50
W1233,12699,1,2022,91
W1233,13066,2,2022,67
W1234,12937,1,2022,71
W1234,13114,2,2022,76
W1235,13070,1,2022,42
W1235,13176,2,2022,44
W1236,13074,1,2022,48
W1236,13242,2,2022,45
W1238,13078,1,2022,80
W1238,13174,2,2022,80
