"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","COVER_CAT_CD","COVER_CAT_NAME","HARDBOTTOM_P","SOFTBOTTOM_P","RUBBLE_P"
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"BAR SUB.","Bare Substrate",0,21,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"DIC SPE.","Dictyota spp",27,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"GOR ENCR","Encrusting gorgonian",1,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"PAL SPE.","Palythoa spp",19,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"POR ASTR","Porites astreoides",1,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"SID SIDE","Siderastrea siderea",1,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"SPO OTHE","Porifera spp",3,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"STE INTE","Stephanocoenia intersepta",1,0,0
"FLK",1177,1,2024,6,5,"CONT_MR","CFK07",NA,NA,0.542666666666667,25.70647,-80.09837,4139070,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD2",7.01039977566721,7.01039977566721,15,"TUR SEDI","Turf Algae with Sediment",22,0,4
"FLK",1287,1,2024,6,6,"SPGR_MR","CFK11",NA,NA,0.442,25.69372,-80.08721,4134268,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,"CD4",22.85999926848,22.85999926848,15,"AGA AGAR","Agaricia agaricites",1,0,0
