"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE"
"FLK",1001,1,2024,6,25,"ISOL_LR","CFK01",NA,NA,0.05,24.5845,-81.58299,2325582,"Lower Keys",8,"Inshore",1,"Unprotected",0,NA,0,"CD0",3.3527998927104,3.3527998927104,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1005,1,2024,10,1,"ISOL_LR","CFK01",NA,NA,0.044,24.75144,-80.92049,3048237,"Middle Keys",9,"Inshore",1,"Unprotected",0,NA,0,"CD0",5.18159983418881,5.18159983418881,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1006,1,2024,7,14,"ISOL_LR","CFK01",NA,NA,0.03,24.96343,-80.54371,3547680,"Mid-Upper Keys Transition",10,"Inshore",1,"Unprotected",0,NA,0,"CD0",3.9623998732032,3.9623998732032,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1007,1,2024,7,14,"ISOL_LR","CFK01",NA,NA,0.008,24.97615,-80.53717,3564693,"Mid-Upper Keys Transition",10,"Inshore",1,"Unprotected",0,NA,0,"CD0",2.7431999122176,3.047999902464,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1008,1,2024,7,13,"ISOL_LR","CFK01",NA,NA,0.048,25.14653,-80.36194,3774307,"Upper Keys",11,"Inshore",1,"Unprotected",0,NA,0,"CD0",3.047999902464,3.047999902464,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1009,1,2024,7,11,"ISOL_LR","CFK01",NA,NA,0.078,25.33015,-80.23357,3946863,"Biscayne",12,"Inshore",1,"Unprotected",0,NA,0,"CD0",3.6575998829568,3.6575998829568,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1010,1,2024,6,6,"ISOL_LR","CFK01",NA,NA,0.0526666666666667,25.71774,-80.116,4143154,"Biscayne",12,"Inshore",1,"Unprotected",0,NA,0,"CD0",7.01039977566721,7.01039977566721,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1018,1,2024,6,25,"ISOL_HR","CFK02",NA,NA,0.761333333333333,24.5479,-81.52922,2177543,"Lower Keys",8,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",8.22959973665281,9.14399970739201,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1023,1,2024,6,24,"ISOL_MR","CFK02",NA,NA,0.412666666666667,24.57977,-81.44259,2302888,"Lower Keys",8,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",7.01039977566721,7.61999975616001,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1024,1,2024,6,27,"ISOL_HR","CFK02",NA,NA,0.733333333333333,24.46666,-82.00258,1948018,"Lower Keys",8,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",10.667999658624,11.8871996196096,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1025,1,2024,6,27,"ISOL_HR","CFK02",NA,NA,1.46666666666667,24.46708,-81.95715,1948110,"Lower Keys",8,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",10.9727996488704,12.8015995903488,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1026,1,2024,6,26,"ISOL_MR","CFK02",NA,NA,0.32,24.53488,-81.60772,2131867,"Lower Keys",8,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",5.48639982443521,7.01039977566721,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1033,1,2024,10,2,"ISOL_MR","CFK02",NA,NA,0.410666666666667,24.70397,-80.99337,2846894,"Middle Keys",9,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",7.31519976591361,7.61999975616001,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1037,1,2024,7,11,"ISOL_MR","CFK02",NA,NA,0.31,25.26567,-80.24751,3888600,"Upper Keys",11,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",2.7431999122176,3.3527998927104,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1048,1,2024,8,13,"ISOL_LR","CFK02",NA,NA,0.250666666666667,25.39067,-80.16373,3991783,"Biscayne",12,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",2.1335999317248,2.7431999122176,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1051,1,2024,8,13,"ISOL_MR","CFK02",NA,NA,0.686666666666667,25.47492,-80.15578,4038450,"Biscayne",12,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",4.571999853696,5.48639982443521,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1056,1,2024,8,13,"ISOL_MR","CFK02",NA,NA,0.385333333333333,25.39907,-80.15921,3997672,"Biscayne",12,"Mid Channel",2,"Unprotected",0,NA,0,"CD0",4.2671998634496,5.79119981468161,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1068,1,2024,6,27,"CONT_MR","CFK07",NA,NA,0.450666666666667,24.45458,-81.94784,1923419,"Lower Keys",8,"Forereef",4,"Unprotected",0,NA,0,"CD2",9.44879969763841,9.75359968788481,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1072,1,2024,9,30,"ISOL_MR","CFK03",NA,NA,0.618181818181818,24.47752,-81.89883,1969885,"Lower Keys",8,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD0",5.48639982443521,8.22959973665281,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1073,1,2024,10,2,"ISOL_MR","CFK03",NA,NA,0.384666666666667,24.69768,-80.95923,2820143,"Middle Keys",9,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD0",5.79119981468161,5.79119981468161,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1074,1,2024,10,1,"ISOL_LR","CFK03",NA,NA,0.27,24.57825,-81.28482,2295628,"Middle Keys",9,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD0",9.44879969763841,9.44879969763841,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1082,1,2024,7,12,"ISOL_MR","CFK03",NA,NA,0.623333333333333,25.16108,-80.26153,3790695,"Upper Keys",11,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD3",11.5823996293632,13.715999561088,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1087,1,2024,7,30,"ISOL_MR","CFK03",NA,NA,0.382,24.98839,-80.46823,3580956,"Upper Keys",11,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD0",3.6575998829568,3.9623998732032,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1089,1,2024,8,12,"ISOL_MR","CFK03",NA,NA,0.336666666666667,25.3622,-80.15392,3971551,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD0",7.31519976591361,7.61999975616001,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"FLK",1091,1,2024,8,15,"ISOL_LR","CFK03",NA,NA,0.108,25.48353,-80.12162,4042720,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,"CD0",7.61999975616001,7.92479974640641,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
