REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
FLK,1006,1,2022,8,2,ISOL_LR,CS01,NA,NA,0.071333333,24.9494,-80.55943,3528306,Mid-Upper Keys Transition,10,Inshore,1,Unprotected,0,NA,0,CD0,3.962399873,3.962399873,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1008,1,2022,8,4,ISOL_LR,CS01,NA,NA,0.073333333,25.21248,-80.32474,3840821,Upper Keys,11,Inshore,1,Unprotected,0,NA,0,CD0,2.438399922,2.743199912,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1010,1,2022,8,31,ISOL_LR,CS01,NA,NA,0.06,25.73747,-80.11803,4150162,Biscayne,12,Inshore,1,Unprotected,0,NA,0,CD0,8.839199717,8.839199717,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1011,1,2022,8,31,CONT_MR,CS01,NA,NA,0.153333333,25.7347,-80.11502,4149232,Biscayne,12,Inshore,1,Unprotected,0,NA,0,CD0,9.143999707,9.143999707,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1019,1,2022,8,3,ISOL_HR,CS03,NA,NA,0.626666667,25.22912,-80.26825,3856027,Upper Keys,11,Mid Channel,2,Unprotected,0,NA,0,CD0,2.438399922,3.962399873,8,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1023,1,2022,10,4,ISOL_MR,CS02,NA,NA,0.033333333,25.008,-80.43486,3606153,Upper Keys,11,Mid Channel,2,Unprotected,0,NA,0,CD0,3.657599883,3.962399873,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1027,1,2022,8,18,ISOL_HR,CS03,NA,NA,0.802,25.49277,-80.1408,4047094,Biscayne,12,Mid Channel,2,Unprotected,0,NA,0,CD0,6.095999805,6.400799795,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1050,1,2022,7,17,ISOL_HR,CS03,NA,NA,0.485333333,24.59584,-81.39432,2373154,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,8.534399727,8.534399727,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1052,1,2022,7,10,ISOL_HR,CS03,NA,NA,0.233333333,24.52915,-81.64928,2113263,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,4.876799844,6.095999805,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1055,1,2022,7,11,ISOL_HR,CS03,NA,NA,0.493333333,24.55509,-81.56663,2206387,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,5.486399824,6.400799795,7.5,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1063,1,2022,7,13,CONT_HR,CS03,NA,NA,NA,24.5775,-81.4438,2293416,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,4.267199863,6.400799795,10,ACR CERV,Acropora cervicornis,1,0,18,16,17,0,0,N,A
FLK,1066,1,2022,7,11,CONT_MR,CS03,NA,NA,0.238666667,24.54132,-81.59522,2154331,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,5.486399824,5.791199815,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1068,1,2022,7,14,ISOL_HR,CS03,NA,NA,0.586666667,24.50633,-81.73694,2041853,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,7.010399776,8.839199717,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1072,1,2022,10,4,ISOL_MR,CS02,NA,NA,0.068,24.73738,-80.89785,2989031,Middle Keys,9,Mid Channel,2,Unprotected,0,NA,0,CD0,8.534399727,8.839199717,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1074,1,2022,10,4,ISOL_LR,CS02,NA,NA,0.100666667,24.65303,-81.14329,2630127,Middle Keys,9,Mid Channel,2,Unprotected,0,NA,0,CD0,9.143999707,9.448799698,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1075,1,2022,10,4,ISOL_HR,CS03,NA,NA,0.338666667,24.72609,-80.93315,2940968,Middle Keys,9,Mid Channel,2,Unprotected,0,NA,0,CD0,6.400799795,7.315199766,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1080,1,2022,8,3,ISOL_HR,CS03,NA,NA,0.516666667,25.22561,-80.26402,3852879,Upper Keys,11,Mid Channel,2,Unprotected,0,NA,0,CD0,3.352799893,3.962399873,9,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1081,1,2022,8,4,ISOL_HR,CS03,NA,NA,0.783333333,25.24023,-80.26812,3865451,Upper Keys,11,Mid Channel,2,Unprotected,0,NA,0,CD0,1.828799941,2.743199912,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1094,1,2022,7,10,CONT_HR,CS06,NA,NA,0.477333333,24.50915,-81.66546,2049974,Lower Keys,8,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,5.486399824,7.315199766,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1118,1,2022,8,1,ISOL_HR,CS06,NA,NA,0.388666667,24.8699,-80.59293,3408055,Mid-Upper Keys Transition,10,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,7.619999756,8.534399727,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1124,1,2022,8,2,CONT_MR,CS11,NA,NA,0.192666667,24.93936,-80.48524,3514412,Mid-Upper Keys Transition,10,Forereef,4,Unprotected,0,NA,0,CD2,6.400799795,7.010399776,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1127,1,2022,8,24,ISOL_MR,CS05,NA,NA,0.166666667,24.98907,-80.42937,3582176,Upper Keys,11,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,7.315199766,7.619999756,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1129,1,2022,8,3,ISOL_HR,CS06,NA,NA,0.73,25.24768,-80.21071,3872690,Upper Keys,11,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,7.315199766,9.143999707,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1130,1,2022,8,26,ISOL_HR,CS06,NA,NA,0.346666667,25.05964,-80.36034,3671087,Upper Keys,11,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,3.657599883,4.267199863,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1131,1,2022,8,3,ISOL_HR,CS06,NA,NA,0.45,25.23556,-80.24455,3861594,Upper Keys,11,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,1.828799941,2.438399922,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1133,1,2022,8,23,CONT_MR,CS11,NA,NA,0.16,25.07583,-80.32059,3691283,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD2,7.619999756,7.924799746,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1135,1,2022,8,2,CONT_HR,CS12,NA,NA,0.353333333,24.97169,-80.44789,3559551,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD2,7.315199766,7.619999756,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1144,1,2022,8,23,CONT_HR,CS12,NA,NA,0.273333333,25.09651,-80.30045,3716699,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD2,12.19199961,12.80159959,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1153,1,2022,8,24,ISOL_HR,CS06,NA,NA,0.346666667,24.99324,-80.46076,3587249,Upper Keys,11,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,4.876799844,4.876799844,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1155,1,2022,8,2,ISOL_HR,CS12,NA,NA,0.307333333,25.33583,-80.15115,3951925,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD2,7.010399776,8.534399727,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1159,1,2022,8,16,CONT_HR,CS09,NA,NA,0.315333333,25.43928,-80.12158,4020653,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD1,3.962399873,4.267199863,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1161,1,2022,8,16,CONT_HR,CS09,NA,NA,0.272666667,25.43472,-80.12314,4018296,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD1,4.267199863,4.571999854,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
