REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,RUGOSITY_CD,DEPTH_STRAT,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,survey_type,analysis_group,count,strat_cora
FLK,1215,1,2022,10,3,SPGR_LR,NA,CD3,24.58986,-81.23386,2345747,NCRMP,NCRMP_NA,1,CFK08
FLK,1294,1,2022,8,25,CONT_LR,NA,CD3,25.16652,-80.23596,3796668,NCRMP,NCRMP_NA,1,CFK08
FLK,1305,1,2022,8,25,CONT_MR,NA,CD3,25.18333,-80.2286,3813145,NCRMP,NCRMP_NA,1,CFK08
FLK,1210,1,2022,7,11,CONT_HR,NA,CD3,24.4977,-81.62554,2016905,NCRMP,NCRMP_NA,1,CFK09
FLK,1225,1,2022,8,18,CONT_HR,NA,CD3,25.56482,-80.09821,4079582,NCRMP,NCRMP_NA,1,CFK09
FLK,1239,1,2022,8,4,SPGR_HR,NA,CD3,25.09026,-80.30066,3709023,NCRMP,NCRMP_NA,1,CFK09
FLK,1241,1,2022,8,2,SPGR_HR,NA,CD3,25.29411,-80.17136,3917371,NCRMP,NCRMP_NA,1,CFK09
FLK,1283,1,2022,10,4,CONT_HR,NA,CD3,24.65934,-80.99064,2657579,NCRMP,NCRMP_NA,1,CFK09
FLK,1299,1,2022,8,5,SPGR_HR,NA,CD3,25.05788,-80.32717,3668906,NCRMP,NCRMP_NA,1,CFK09
FLK,1313,1,2022,8,16,SPGR_HR,NA,CD3,25.48157,-80.10792,4041860,NCRMP,NCRMP_NA,1,CFK09
FLK,1316,1,2022,8,18,SPGR_HR,NA,CD3,25.5831,-80.0925,4087315,NCRMP,NCRMP_NA,1,CFK09
FLK,1454,1,2022,8,3,ISOL_HR,NA,CD3,25.22483,-80.20612,3852600,NCRMP,NCRMP_NA,1,CFK09
FLK,1464,1,2022,8,5,CONT_MR,NA,CD3,25.01428,-80.36797,3614286,NCRMP,NCRMP_NA,1,CFK09
FLK,1467,1,2022,8,1,SPGR_HR,NA,CD3,24.8429,-80.62317,3350698,NCRMP,NCRMP_NA,1,CFK09
FLK,1475,1,2022,8,2,SPGR_HR,NA,CD3,24.95405,-80.45296,3535393,NCRMP,NCRMP_NA,1,CFK09
FLK,1714,1,2022,8,16,CONT_HR,NA,CD3,25.46913,-80.11053,4035651,NCRMP,NCRMP_NA,1,CFK09
FLK,1934,1,2022,8,3,SPGR_HR,NA,CD3,25.2027,-80.21812,3832532,NCRMP,NCRMP_NA,1,CFK09
FLK,1302,1,2022,8,24,ISOL_HR,NA,CD4,24.98587,-80.41078,3578202,NCRMP,NCRMP_NA,1,CFK11
FLK,1321,1,2022,7,12,SPGR_HR,NA,CD4,24.44043,-81.86946,1899586,NCRMP,NCRMP_NA,1,CFK11
FLK,1325,1,2022,7,13,CONT_HR,NA,CD4,24.53696,-81.42903,2136969,NCRMP,NCRMP_NA,1,CFK11
FLK,1331,1,2022,7,9,CONT_HR,NA,CD4,24.46747,-81.72453,1946696,NCRMP,NCRMP_NA,1,CFK11
FLK,1342,1,2022,8,1,SPGR_HR,NA,CD4,24.84347,-80.61668,3351733,NCRMP,NCRMP_NA,1,CFK11
FLK,1350,1,2022,8,4,SPGR_HR,NA,CD4,25.09958,-80.29102,3720530,NCRMP,NCRMP_NA,1,CFK11
FLK,1354,1,2022,8,25,SPGR_HR,NA,CD4,25.15075,-80.2473,3780080,NCRMP,NCRMP_NA,1,CFK11
FLK,1355,1,2022,8,24,SPGR_HR,NA,CD4,24.9689,-80.42719,3555937,NCRMP,NCRMP_NA,1,CFK11
FLK,1356,1,2022,8,23,ISOL_HR,NA,CD4,25.06279,-80.32061,3675109,NCRMP,NCRMP_NA,1,CFK11
FLK,1357,1,2022,8,26,CONT_HR,NA,CD4,25.05236,-80.32988,3662148,NCRMP,NCRMP_NA,1,CFK11
FLK,1473,1,2022,8,5,SPGR_HR,NA,CD4,25.00636,-80.37615,3603970,NCRMP,NCRMP_NA,1,CFK11
FLK,1814,1,2022,8,2,CONT_HR,NA,CD4,24.94144,-80.4633,3517706,NCRMP,NCRMP_NA,1,CFK11
FLK,1834,1,2022,8,5,SPGR_HR,NA,CD4,24.9849,-80.40601,3577063,NCRMP,NCRMP_NA,1,CFK11
FLK,8068,1,2022,9,1,ISOL_HR,NA,CD4,25.7127,-80.08719,4141418,NCRMP,NCRMP_NA,1,CFK11
FLK,8076,1,2022,9,1,ISOL_HR,NA,CD4,25.71423,-80.08803,4142074,NCRMP,NCRMP_NA,1,CFK11
FLK,1006,1,2022,8,2,ISOL_LR,NA,CD0,24.9494,-80.55943,3528306,NCRMP,NCRMP_GRP,1,CFK01
FLK,1008,1,2022,8,4,ISOL_LR,NA,CD0,25.21248,-80.32474,3840821,NCRMP,NCRMP_GRP,1,CFK01
FLK,1010,1,2022,8,31,ISOL_LR,NA,CD0,25.73747,-80.11803,4150162,NCRMP,NCRMP_GRP,1,CFK01
FLK,1011,1,2022,8,31,CONT_MR,NA,CD0,25.7347,-80.11502,4149232,NCRMP,NCRMP_GRP,1,CFK01
FLK,1487,1,2022,8,1,ISOL_LR,NA,CD0,24.94943,-80.55353,3528318,NCRMP,NCRMP_GRP,1,CFK01
FLK,1491,1,2022,8,2,ISOL_LR,NA,CD0,25.33355,-80.22532,3949684,NCRMP,NCRMP_GRP,1,CFK01
FLK,8064,1,2022,8,2,ISOL_LR,NA,CD0,25.34866,-80.22994,3961050,NCRMP,NCRMP_GRP,1,CFK01
FLK,8069,1,2022,8,15,ISOL_LR,NA,CD0,24.97671,-80.53794,3565269,NCRMP,NCRMP_GRP,1,CFK01
FLK,8070,1,2022,8,15,ISOL_LR,NA,CD0,24.96597,-80.53458,3551410,NCRMP,NCRMP_GRP,1,CFK01
FLK,8071,1,2022,8,31,ISOL_LR,NA,CD0,25.74996,-80.12381,4154300,NCRMP,NCRMP_GRP,1,CFK01
FLK,1023,1,2022,10,4,ISOL_MR,NA,CD0,25.008,-80.43486,3606153,NCRMP,NCRMP_GRP,1,CFK02
FLK,1072,1,2022,10,4,ISOL_MR,NA,CD0,24.73738,-80.89785,2989031,NCRMP,NCRMP_GRP,1,CFK02
FLK,1074,1,2022,10,4,ISOL_LR,NA,CD0,24.65303,-81.14329,2630127,NCRMP,NCRMP_GRP,1,CFK02
FLK,1019,1,2022,8,3,ISOL_HR,NA,CD0,25.22912,-80.26825,3856027,NCRMP,NCRMP_GRP,1,CFK02
FLK,1027,1,2022,8,18,ISOL_HR,NA,CD0,25.49277,-80.1408,4047094,NCRMP,NCRMP_GRP,1,CFK02
FLK,1050,1,2022,7,17,ISOL_HR,NA,CD0,24.59584,-81.39432,2373154,NCRMP,NCRMP_GRP,1,CFK02
FLK,1052,1,2022,7,10,ISOL_HR,NA,CD0,24.52915,-81.64928,2113263,NCRMP,NCRMP_GRP,1,CFK02
FLK,1055,1,2022,7,11,ISOL_HR,NA,CD0,24.55509,-81.56663,2206387,NCRMP,NCRMP_GRP,1,CFK02
FLK,1063,1,2022,7,13,CONT_HR,NA,CD0,24.5775,-81.4438,2293416,NCRMP,NCRMP_GRP,1,CFK02
FLK,1066,1,2022,7,11,CONT_MR,NA,CD0,24.54132,-81.59522,2154331,NCRMP,NCRMP_GRP,1,CFK02
FLK,1068,1,2022,7,14,ISOL_HR,NA,CD0,24.50633,-81.73694,2041853,NCRMP,NCRMP_GRP,1,CFK02
FLK,1075,1,2022,10,4,ISOL_HR,NA,CD0,24.72609,-80.93315,2940968,NCRMP,NCRMP_GRP,1,CFK02
FLK,1080,1,2022,8,3,ISOL_HR,NA,CD0,25.22561,-80.26402,3852879,NCRMP,NCRMP_GRP,1,CFK02
FLK,1081,1,2022,8,4,ISOL_HR,NA,CD0,25.24023,-80.26812,3865451,NCRMP,NCRMP_GRP,1,CFK02
FLK,1381,1,2022,7,15,ISOL_HR,NA,CD0,24.51084,-81.70014,2055312,NCRMP,NCRMP_GRP,1,CFK02
FLK,1382,1,2022,7,9,CONT_HR,NA,CD0,24.51784,-81.69489,2076271,NCRMP,NCRMP_GRP,1,CFK02
FLK,1502,1,2022,8,4,ISOL_HR,NA,CD0,25.04403,-80.40663,3651308,NCRMP,NCRMP_GRP,1,CFK02
FLK,1541,1,2022,7,12,ISOL_HR,NA,CD0,24.481,-81.93072,1978128,NCRMP,NCRMP_GRP,1,CFK02
FLK,1563,1,2022,8,16,ISOL_HR,NA,CD0,25.45538,-80.15683,4028652,NCRMP,NCRMP_GRP,1,CFK02
FLK,1861,1,2022,7,9,CONT_HR,NA,CD0,24.52014,-81.71842,2084875,NCRMP,NCRMP_GRP,1,CFK02
FLK,1127,1,2022,8,24,ISOL_MR,NA,CD0,24.98907,-80.42937,3582176,NCRMP,NCRMP_GRP,1,CFK03
FLK,1094,1,2022,7,10,CONT_HR,NA,CD0,24.50915,-81.66546,2049974,NCRMP,NCRMP_GRP,1,CFK03
FLK,1118,1,2022,8,1,ISOL_HR,NA,CD0,24.8699,-80.59293,3408055,NCRMP,NCRMP_GRP,1,CFK03
FLK,1129,1,2022,8,3,ISOL_HR,NA,CD0,25.24768,-80.21071,3872690,NCRMP,NCRMP_GRP,1,CFK03
FLK,1130,1,2022,8,26,ISOL_HR,NA,CD0,25.05964,-80.36034,3671087,NCRMP,NCRMP_GRP,1,CFK03
FLK,1131,1,2022,8,3,ISOL_HR,NA,CD0,25.23556,-80.24455,3861594,NCRMP,NCRMP_GRP,1,CFK03
FLK,1153,1,2022,8,24,ISOL_HR,NA,CD0,24.99324,-80.46076,3587249,NCRMP,NCRMP_GRP,1,CFK03
FLK,1247,1,2022,7,12,ISOL_HR,NA,CD0,24.46419,-81.90593,1941714,NCRMP,NCRMP_GRP,1,CFK03
FLK,8065,1,2022,8,15,ISOL_MR,NA,CD0,24.88259,-80.57458,3429976,NCRMP,NCRMP_GRP,1,CFK03
FLK,1159,1,2022,8,16,CONT_HR,NA,CD1,25.43928,-80.12158,4020653,NCRMP,NCRMP_GRP,1,CFK05
FLK,1161,1,2022,8,16,CONT_HR,NA,CD1,25.43472,-80.12314,4018296,NCRMP,NCRMP_GRP,1,CFK05
FLK,1185,1,2022,8,18,CONT_HR,NA,CD1,25.5673,-80.10477,4080709,NCRMP,NCRMP_GRP,1,CFK05
FLK,1392,1,2022,8,22,ISOL_HR,NA,CD1,25.03544,-80.35284,3640754,NCRMP,NCRMP_GRP,1,CFK05
FLK,8067,1,2022,9,15,CONT_HR,NA,CD1,25.1953,-80.24814,3824878,NCRMP,NCRMP_GRP,1,CFK05
FLK,1124,1,2022,8,2,CONT_MR,NA,CD2,24.93936,-80.48524,3514412,NCRMP,NCRMP_GRP,1,CFK06
FLK,1133,1,2022,8,23,CONT_MR,NA,CD2,25.07583,-80.32059,3691283,NCRMP,NCRMP_GRP,1,CFK06
FLK,1162,1,2022,7,6,RUBB_LR,NA,CD2,25.72854,-80.10325,4147020,NCRMP,NCRMP_GRP,1,CFK06
FLK,1199,1,2022,10,4,CONT_MR,NA,CD2,24.63354,-81.07924,2544254,NCRMP,NCRMP_GRP,1,CFK06
FLK,1385,1,2022,8,25,RUBB_LR,NA,CD2,25.14933,-80.25639,3778051,NCRMP,NCRMP_GRP,1,CFK06
FLK,1432,1,2022,8,1,SPGR_MR,NA,CD2,24.84953,-80.61675,3365231,NCRMP,NCRMP_GRP,1,CFK06
FLK,1642,1,2022,8,31,CONT_MR,NA,CD2,25.75421,-80.10215,4155843,NCRMP,NCRMP_GRP,1,CFK06
FLK,1682,1,2022,8,1,ISOL_MR,NA,CD2,24.90446,-80.53278,3462456,NCRMP,NCRMP_GRP,1,CFK06
FLK,1871,1,2022,8,5,RUBB_LR,NA,CD2,25.03944,-80.35421,3645809,NCRMP,NCRMP_GRP,1,CFK06
FLK,1135,1,2022,8,2,CONT_HR,NA,CD2,24.97169,-80.44789,3559551,NCRMP,NCRMP_GRP,1,CFK07
FLK,1144,1,2022,8,23,CONT_HR,NA,CD2,25.09651,-80.30045,3716699,NCRMP,NCRMP_GRP,1,CFK07
FLK,1155,1,2022,8,2,ISOL_HR,NA,CD2,25.33583,-80.15115,3951925,NCRMP,NCRMP_GRP,1,CFK07
FLK,1173,1,2022,10,3,CONT_MR,NA,CD2,24.5823,-81.26749,2312777,NCRMP,NCRMP_GRP,1,CFK07
FLK,1190,1,2022,6,29,CONT_HR,NA,CD2,25.71133,-80.0872,4140920,NCRMP,NCRMP_GRP,1,CFK07
FLK,1203,1,2022,8,2,CONT_HR,NA,CD2,24.93304,-80.49518,3505204,NCRMP,NCRMP_GRP,1,CFK07
FLK,1204,1,2022,8,4,CONT_HR,NA,CD2,25.12954,-80.2685,3755565,NCRMP,NCRMP_GRP,1,CFK07
FLK,1417,1,2022,8,4,SPGR_HR,NA,CD2,25.14151,-80.25822,3769448,NCRMP,NCRMP_GRP,1,CFK07
FLK,1668,1,2022,8,18,CONT_HR,NA,CD2,25.46593,-80.11841,4034081,NCRMP,NCRMP_GRP,1,CFK07
FLK,1415,1,2022,9,20,ISOL_HR,NA,CD1,25.21439,-80.21659,3843463,NCRMP,MIR_GRP,1,CFK05
FLK,9210,1,2022,10,27,ISOL_HR,NA,CD0,24.90355,-80.60961,3460933,MIR,NCRMP_GRP,1,CFK02
FLK,9054,1,2022,8,26,SPGR_HR,NA,CD1,24.4637,-81.8429,1940026,MIR,NCRMP_GRP,1,CFK05
FLK,9080,1,2022,8,22,CONT_HR,NA,CD1,25.22186,-80.20496,3850238,MIR,NCRMP_GRP,1,CFK05
FLK,9079,1,2022,8,22,CONT_HR,NA,CD2,25.22186,-80.20743,3849837,MIR,NCRMP_GRP,1,CFK07
FLK,9001,1,2022,11,1,ISOL_HR,NA,CD0,24.61778,-81.38014,2472501,MIR,MIR_GRP,1,CFK01
FLK,9003,1,2022,11,1,ISOL_MR,NA,CD0,24.61499,-81.39347,2459712,MIR,MIR_GRP,1,CFK01
FLK,9007,1,2022,11,1,ISOL_HR,NA,CD0,24.61505,-81.38361,2459732,MIR,MIR_GRP,1,CFK01
FLK,9102,1,2022,12,16,CONT_LR,NA,CD0,24.61595,-81.37965,2463972,MIR,MIR_GRP,1,CFK01
FLK,9103,1,2022,12,16,ISOL_LR,NA,CD0,24.61461,-81.39197,2457601,MIR,MIR_GRP,1,CFK01
FLK,9109,1,2022,12,16,ISOL_HR,NA,CD0,24.61546,-81.37965,2461854,MIR,MIR_GRP,1,CFK01
