CODE,COV_CAT_A,COV_CAT_B
BAR SUB.,OTHER,OTHER
SPO OTHE,SPONG,SPONG
CLI SPE.,SPONG,SPONG
GOR ENCR,SCORA,SCORA
GOR GORG,SCORA,SCORA
MAG SPE.,OTHER,OTHER
PAL SPE.,OTHER,OTHER
OTH SPE.,OTHER,OTHER
MIL SPE.,OTHER,OTHER
ACR CERV,HCORA,HCORS
ACR PALM,HCORA,HCORS
ACR PROL,HCORA,HCORS
AGA AGAR,HCORA,HCORS
AGA FRAG,HCORA,HCORS
AGA GRAH,HCORA,HCORS
AGA HUMI,HCORA,HCORS
AGA LAMA,HCORA,HCORS
AGA SPE.,HCORA,HCORS
AGA TENU,HCORA,HCORS
CAR SPE.,HCORA,HCORA
CLA ABRU,HCORA,HCORA
COL NATA,HCORA,HCORS
COL SPE.,HCORA,HCORS
DEN CYLI,HCORA,HCORS
DIC STOK,HCORA,HCORS
DIP LABY,HCORA,HCORS
DIP SPE.,HCORA,HCORS
EUS FAST,HCORA,HCORS
FAV FRAG,HCORA,HCORS
HEL CUCU,HCORA,HCORS
ISO RIGI,HCORA,HCORS
ISO SINU,HCORA,HCORS
ISO SPE.,HCORA,HCORS
MAD AURE,HCORA,HCORS
MAD CARM,HCORA,HCORS
MAD DECA,HCORA,HCORS
MAD FORM,HCORA,HCORS
MAD PHAR,HCORA,HCORS
MAD SENA,HCORA,HCORS
MAD SPE.,HCORA,HCORS
MAN AREO,HCORA,HCORS
MEA DANA,HCORA,HCORS
MEA MEAN,HCORA,HCORS
MEA SPE.,HCORA,HCORS
MEAN JACK,HCORA,HCORS
MON CAVE,HCORA,HCORS
MUS ANGU,HCORA,HCORS
MYC ALIC,HCORA,HCORS
MYC DANA,HCORA,HCORS
MYC FERO,HCORA,HCORS
MYC LAMA,HCORA,HCORS
MYC REES,HCORA,HCORS
MYC SPE.,HCORA,HCORS
OCU DIFF,HCORA,HCORA
OCU ROBU,HCORA,HCORA
OCU SPE.,HCORA,HCORA
OCU VALE,HCORA,HCORA
ORB ANCX,HCORA,HCORS
ORB ANNU,HCORA,HCORS
ORB FAVE,HCORA,HCORS
ORB FRAN,HCORA,HCORS
ORB SPE.,HCORA,HCORS
OTH CORA,HCORA,HCORA
PHY AMER,HCORA,HCORA
POR ASTR,HCORA,HCORS
POR BRAN,HCORA,HCORS
POR COLO,HCORA,HCORS
POR DIVA,HCORA,HCORS
POR FURC,HCORA,HCORS
POR PORI,HCORA,HCORS
POR SPE.,HCORA,HCORS
PSE CLIV,HCORA,HCORS
PSE SPE.,HCORA,HCORS
PSE STRI,HCORA,HCORS
SCL SPE.,HCORA,HCORS
SCO CUBE,HCORA,HCORS
SCO LACE,HCORA,HCORS
SCO SPE.,HARD ,HCORS
SID RADI,HCORA,HCORS
SID SIDE,HCORA,HCORS
SID SPE.,HCORA,HCORS
SOL BOUR,HCORA,HCORS
SOL HYAD,HCORA,HCORS
SOL SPE.,HCORA,HCORS
STE INTE,HCORA,HCORS
TUB COCC,HCORA,HCORA
CYA SPE.,OTHER,OTHER
DIC SPE.,MACAL,MACAL
HAL SPE.,MACAL,MACAL
LOB SPE.,MACAL,MACAL
MAC CALC,MACAL,MACAL
MAC FLES,MACAL,MACAL
PEY SPE.,MACAL,MACAL
RAM SPE.,RAMIC,RAMIC
RHO CRUS,CCALG,CCALG
TUR FREE,TURFA,TURFA
TUR SEDI,TURFA,TURFA
