YEAR,COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
2022,ACR CERV,MIR_GRP,CFK01,101,8,0,0
2022,ACR PALM,MIR_GRP,CFK01,101,8,0,0
2022,AGA AGAR,MIR_GRP,CFK01,101,8,0,0
2022,AGA HUMI,MIR_GRP,CFK01,101,8,0,0
2022,AGA LAMA,MIR_GRP,CFK01,101,8,0,0
2022,AGA SPE.,MIR_GRP,CFK01,101,8,0,0
2022,BAR SUB.,MIR_GRP,CFK01,101,8,0.12125,0.11839
2022,CLI SPE.,MIR_GRP,CFK01,101,8,0.01125,0.03825
2022,COL NATA,MIR_GRP,CFK01,101,8,0,0
2022,CYA SPE.,MIR_GRP,CFK01,101,8,0,0
2022,DIC SPE.,MIR_GRP,CFK01,101,8,0.04375,0.07418
2022,DIC STOK,MIR_GRP,CFK01,101,8,0,0
2022,DIP LABY,MIR_GRP,CFK01,101,8,0,0
2022,DIP SPE.,MIR_GRP,CFK01,101,8,0,0
2022,EUS FAST,MIR_GRP,CFK01,101,8,0,0
2022,GOR ENCR,MIR_GRP,CFK01,101,8,0.01125,0.03825
2022,GOR GORG,MIR_GRP,CFK01,101,8,0.01625,0.04586
2022,HAL SPE.,MIR_GRP,CFK01,101,8,0.21125,0.14805
2022,HEL CUCU,MIR_GRP,CFK01,101,8,0,0
2022,ISO SINU,MIR_GRP,CFK01,101,8,0,0
2022,LOB SPE.,MIR_GRP,CFK01,101,8,0,0
2022,MAC CALC,MIR_GRP,CFK01,101,8,0.0125,0.0403
2022,MAC FLES,MIR_GRP,CFK01,101,8,0.0025,0.01811
2022,MAD DECA,MIR_GRP,CFK01,101,8,0,0
2022,MAG SPE.,MIR_GRP,CFK01,101,8,0,0
2022,MAN AREO,MIR_GRP,CFK01,101,8,0,0
2022,MEA MEAN,MIR_GRP,CFK01,101,8,0,0
2022,MIL SPE.,MIR_GRP,CFK01,101,8,0,0
2022,MON CAVE,MIR_GRP,CFK01,101,8,0.005,0.02558
2022,MYC ALIC,MIR_GRP,CFK01,101,8,0,0
2022,ORB ANCX,MIR_GRP,CFK01,101,8,0,0
2022,ORB ANNU,MIR_GRP,CFK01,101,8,0.01,0.03609
2022,ORB FAVE,MIR_GRP,CFK01,101,8,0.00375,0.02217
2022,ORB FRAN,MIR_GRP,CFK01,101,8,0,0
2022,OTH CORA,MIR_GRP,CFK01,101,8,0,0
2022,OTH SPE.,MIR_GRP,CFK01,101,8,0.055,0.08269
2022,PAL SPE.,MIR_GRP,CFK01,101,8,0,0
2022,PEY SPE.,MIR_GRP,CFK01,101,8,0,0
2022,POR ASTR,MIR_GRP,CFK01,101,8,0,0
2022,POR DIVA,MIR_GRP,CFK01,101,8,0,0
2022,POR PORI,MIR_GRP,CFK01,101,8,0,0
2022,POR SPE.,MIR_GRP,CFK01,101,8,0,0
2022,PSE CLIV,MIR_GRP,CFK01,101,8,0,0
2022,PSE STRI,MIR_GRP,CFK01,101,8,0.00125,0.01281
2022,RAM SPE.,MIR_GRP,CFK01,101,8,0,0
2022,RHO CRUS,MIR_GRP,CFK01,101,8,0.02625,0.05799
2022,SID RADI,MIR_GRP,CFK01,101,8,0,0
2022,SID SIDE,MIR_GRP,CFK01,101,8,0.00375,0.02217
2022,SOL BOUR,MIR_GRP,CFK01,101,8,0.0025,0.01811
2022,SOL SPE.,MIR_GRP,CFK01,101,8,0,0
2022,SPO OTHE,MIR_GRP,CFK01,101,8,0.015,0.04409
2022,STE INTE,MIR_GRP,CFK01,101,8,0,0
2022,TUR FREE,MIR_GRP,CFK01,101,8,0.26625,0.16031
2022,TUR SEDI,MIR_GRP,CFK01,101,8,0.18125,0.13972
2024,ACR CERV,MIR_GRP,CFK01,101,10,0,0
2024,ACR PALM,MIR_GRP,CFK01,101,10,0,0
2024,AGA AGAR,MIR_GRP,CFK01,101,10,0,0
2024,AGA HUMI,MIR_GRP,CFK01,101,10,0,0
2024,AGA LAMA,MIR_GRP,CFK01,101,10,0,0
2024,AGA SPE.,MIR_GRP,CFK01,101,10,0,0
2024,BAR SUB.,MIR_GRP,CFK01,101,10,0.033,0.05652
2024,CLI SPE.,MIR_GRP,CFK01,101,10,0,0
2024,COL NATA,MIR_GRP,CFK01,101,10,0,0
2024,CYA SPE.,MIR_GRP,CFK01,101,10,0.002,0.01414
2024,DIC SPE.,MIR_GRP,CFK01,101,10,0.003,0.0173
2024,DIC STOK,MIR_GRP,CFK01,101,10,0,0
2024,DIP LABY,MIR_GRP,CFK01,101,10,0,0
2024,DIP SPE.,MIR_GRP,CFK01,101,10,0,0
2024,EUS FAST,MIR_GRP,CFK01,101,10,0,0
2024,GOR ENCR,MIR_GRP,CFK01,101,10,0,0
