YEAR,SPECIES_CD,analysis_group,strat_cora,ntot,n,avdens,se_dns,cv_dns,avp,se_p,abd,se_abd
2022,ACR CERV,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,ACR CERV,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,ACR PALM,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,ACR PALM,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK01,101,12,0.01667,0.015645270130226097,93.87162078135655,0.08333333333333333,0.07822635065113046,4208.333333333334,15.80172
2024,COL NATA,MIR_GRP,CFK01,101,10,0.01,0.009492049826090785,94.92049826090785,0.1,0.09492049826090786,2525,9.58697
2022,DIC STOK,MIR_GRP,CFK01,101,12,0.00833,0.007822635065113048,93.87162078135655,0.08333333333333333,0.07822635065113046,2104.166666666667,7.90086
2024,DIC STOK,MIR_GRP,CFK01,101,10,0.00667,0.006328033217393857,94.92049826090786,0.1,0.09492049826090786,1683.333333333333,6.39131
2022,DIP LABY,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,DIP LABY,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,MEA MEAN,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,MEA MEAN,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,MON CAVE,MIR_GRP,CFK01,101,12,0.04167,0.018116851879733498,43.48044451136039,0.3333333333333333,0.1334233119736495,10520.833333333336,18.29802
2024,MON CAVE,MIR_GRP,CFK01,101,10,0.41333,0.1648935383448933,39.893597986667736,0.5,0.15820083043484642,104366.66666666666,166.54247
2022,PSE CLIV,MIR_GRP,CFK01,101,12,0.01667,0.010548038969998704,63.288233819992215,0.16666666666666666,0.105480389699987,4208.333333333334,10.65352
2024,PSE CLIV,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,PSE STRI,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,PSE STRI,MIR_GRP,CFK01,101,10,0.00667,0.006328033217393857,94.92049826090786,0.1,0.09492049826090786,1683.333333333333,6.39131
2022,ACR CERV,MIR_GRP,CFK02,110,16,0,0,0,0,0,0,0
2024,ACR CERV,MIR_GRP,CFK02,110,12,0,0,0,0,0,0,0
2022,ACR PALM,MIR_GRP,CFK02,110,16,0,0,0,0,0,0,0
2024,ACR PALM,MIR_GRP,CFK02,110,12,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK02,110,16,0.25625,0.046961158192573134,18.326305636126104,0.875,0.07893706737687058,70468.74999999999,51.65727
2024,COL NATA,MIR_GRP,CFK02,110,12,0.16667,0.0483710786405695,29.022647184341693,0.6666666666666666,0.13415723406774943,45833.33333333334,53.20819
2022,DIC STOK,MIR_GRP,CFK02,110,16,0.00625,0.005777601735857344,92.44162777371749,0.0625,0.05777601735857346,1718.7500000000002,6.35536
