analysis_group,SPECIES_CD,n,Lbar,YEAR,SE_L,cv_L,L_LCI,L_UCI
MIR_GRP,ACR CERV,98,21.066679961,2022,6.170470828,0.2929019114,8.8115922801,33.321767641
MIR_GRP,ACR PALM,98,12.5,2022,0.0519024764,0.0041521981,12.396917202,12.603082798
MIR_GRP,COL NATA,98,48.556080569,2022,8.6948021719,0.1790672161,31.287452947,65.824708191
MIR_GRP,DIC STOK,98,8.1473840161,2022,2.235194506,0.2743450538,3.708094792,12.58667324
MIR_GRP,DIP LABY,98,28.974301154,2022,3.4534289867,0.1191893799,22.115493097,35.833109211
MIR_GRP,EUS FAST,98,7.7390408135,2022,0.593036457,0.0766291936,6.5612192207,8.9168624063
MIR_GRP,MEA MEAN,98,16,2022,0,0,16,16
MIR_GRP,MON CAVE,98,22.748793578,2022,3.8536901331,0.1694019562,15.095032334,30.402554821
MIR_GRP,PSE CLIV,98,22.87396221,2022,4.0606360863,0.1775221997,14.809188441,30.938735979
MIR_GRP,PSE STRI,98,21.287085293,2022,3.6397079758,0.1709819792,14.058311085,28.515859501
NCRMP_GRP,ACR CERV,243,26.662217908,2022,1.3202289316,0.0495168458,24.061335214,29.263100603
NCRMP_GRP,ACR PALM,243,,2022,0,,,
NCRMP_GRP,COL NATA,243,38.572696135,2022,7.1249515453,0.1847148957,24.536370518,52.609021752
NCRMP_GRP,DIC STOK,243,8.1856845287,2022,0.7927060722,0.0968405354,6.6240345333,9.7473345241
NCRMP_GRP,DIP LABY,243,11.140372147,2022,2.0184171495,0.1811804061,7.1640418993,15.116702394
NCRMP_GRP,EUS FAST,243,7.4867061586,2022,0.9357463864,0.1249877271,5.6432633097,9.3301490074
NCRMP_GRP,MEA MEAN,243,20.580500344,2022,10.26631968,0.498837225,0.3556040753,40.805396613
NCRMP_GRP,MON CAVE,243,29.386658074,2022,3.5912434346,0.1222065954,22.311822281,36.461493867
NCRMP_GRP,PSE CLIV,243,25.195485419,2022,1.5787045135,0.0626582297,22.085399622,28.305571216
NCRMP_GRP,PSE STRI,243,13.293280211,2022,1.4184080147,0.1067011296,10.498982365,16.087578056
