analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,98,0.0145698005,2022,0.1013117196,6.9535419692,-0.186644019,0.2157836205,Bleach_all
MIR_GRP,ACR PALM,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,COL NATA,98,2.4743748948,2022,0.5451310887,0.2203106287,1.3916974985,3.557052291,Bleach_all
MIR_GRP,DIC STOK,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,DIP LABY,98,0.1291546199,2022,0.1040863872,0.8059052572,-0.077569929,0.3358791693,Bleach_all
MIR_GRP,EUS FAST,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MEA MEAN,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MON CAVE,98,0.9293849086,2022,0.2307239255,0.2482544352,0.4711472771,1.3876225401,Bleach_all
MIR_GRP,PSE CLIV,98,0.2595515526,2022,0.0898910104,0.3463320081,0.0810202468,0.4380828584,Bleach_all
MIR_GRP,PSE STRI,98,0.0594254481,2022,0.0243996367,0.4105923896,0.0109656634,0.1078852327,Bleach_all
NCRMP_GRP,ACR CERV,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,ACR PALM,243,,2022,0,,,,Bleach_all
NCRMP_GRP,COL NATA,243,0.1871460284,2022,0.1264287953,0.6755622676,-0.061921734,0.4362137907,Bleach_all
NCRMP_GRP,DIC STOK,243,0.109613984,2022,0.0624528533,0.5697526077,-0.013419636,0.2326476045,Bleach_all
NCRMP_GRP,DIP LABY,243,0.1723110906,2022,0.1531504707,0.8888021669,-0.129399014,0.4740211951,Bleach_all
NCRMP_GRP,EUS FAST,243,0.7186380949,2022,0.290667132,0.404469418,0.1460168658,1.2912593241,Bleach_all
NCRMP_GRP,MEA MEAN,243,0.1988340284,2022,0.0897940225,0.4516028929,0.0219376482,0.3757304087,Bleach_all
NCRMP_GRP,MON CAVE,243,0.8526153727,2022,0.2053852537,0.2408885181,0.4480014916,1.2572292538,Bleach_all
NCRMP_GRP,PSE CLIV,243,0.0325283591,2022,0.0132473019,0.4072539252,0.0064308562,0.058625862,Bleach_all
NCRMP_GRP,PSE STRI,243,0.8668204928,2022,0.3989832375,0.4602835776,0.0808139351,1.6528270505,Bleach_all
