analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,98,0.5573457846,2022,0.1203188372,0.2158782581,0.3183821884,0.7963093807,Disease_all
MIR_GRP,ACR PALM,98,0,2022,0,,0,0,Disease_all
MIR_GRP,COL NATA,98,0,2022,0,,0,0,Disease_all
MIR_GRP,DIC STOK,98,0,2022,0,,0,0,Disease_all
MIR_GRP,DIP LABY,98,0,2022,0,,0,0,Disease_all
MIR_GRP,EUS FAST,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MEA MEAN,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MON CAVE,98,0.0475933774,2022,0.0984665653,2.0689131718,-0.147969721,0.2431564755,Disease_all
MIR_GRP,PSE CLIV,98,0,2022,0,,0,0,Disease_all
MIR_GRP,PSE STRI,98,0,2022,0,,0,0,Disease_all
NCRMP_GRP,ACR CERV,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,ACR PALM,243,,2022,0,,,,Disease_all
NCRMP_GRP,COL NATA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,DIC STOK,243,0.009120561,2022,0.0099372998,1.0895491749,-0.010456158,0.0286972802,Disease_all
NCRMP_GRP,DIP LABY,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,EUS FAST,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MEA MEAN,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MON CAVE,243,0.0066354923,2022,0.00832772,1.2550266929,-0.009770316,0.0230413006,Disease_all
NCRMP_GRP,PSE CLIV,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,PSE STRI,243,0,2022,0,,0,0,Disease_all
