analysis_group,strat_cora,cover_cat_cd,n,avp,ntot,se_p
MIR_GRP,CFK01,ACR CERV,8,0.00000,101,0.00000
MIR_GRP,CFK02,ACR CERV,12,0.00000,110,0.00000
MIR_GRP,CFK03,ACR CERV,7,0.00000,78,0.00000
MIR_GRP,CFK05,ACR CERV,23,0.00000,202,0.00000
MIR_GRP,CFK06,ACR CERV,4,0.00000,109,0.00000
MIR_GRP,CFK07,ACR CERV,32,0.00750,339,0.01475
NCRMP_GRP,CFK01,ACR CERV,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,ACR CERV,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,ACR CERV,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,ACR CERV,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,ACR CERV,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,ACR CERV,10,0.00000,15960,0.00000
MIR_GRP,CFK01,ACR PALM,8,0.00000,101,0.00000
MIR_GRP,CFK02,ACR PALM,12,0.00000,110,0.00000
MIR_GRP,CFK03,ACR PALM,7,0.00143,78,0.01471
MIR_GRP,CFK05,ACR PALM,23,0.00174,202,0.00836
MIR_GRP,CFK06,ACR PALM,4,0.00000,109,0.00000
MIR_GRP,CFK07,ACR PALM,32,0.00094,339,0.00523
NCRMP_GRP,CFK01,ACR PALM,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,ACR PALM,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,ACR PALM,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,ACR PALM,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,ACR PALM,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,ACR PALM,10,0.00000,15960,0.00000
MIR_GRP,CFK01,AGA AGAR,8,0.00000,101,0.00000
MIR_GRP,CFK02,AGA AGAR,12,0.00000,110,0.00000
MIR_GRP,CFK03,AGA AGAR,7,0.00429,78,0.02544
MIR_GRP,CFK05,AGA AGAR,23,0.00391,202,0.01253
MIR_GRP,CFK06,AGA AGAR,4,0.00500,109,0.03997
MIR_GRP,CFK07,AGA AGAR,32,0.01563,339,0.02120
NCRMP_GRP,CFK01,AGA AGAR,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,AGA AGAR,20,0.00050,30239,0.00513
NCRMP_GRP,CFK03,AGA AGAR,9,0.00111,15652,0.01178
NCRMP_GRP,CFK05,AGA AGAR,7,0.00143,2596,0.01540
NCRMP_GRP,CFK06,AGA AGAR,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,AGA AGAR,10,0.00500,15960,0.02350
MIR_GRP,CFK01,AGA HUMI,8,0.00000,101,0.00000
MIR_GRP,CFK02,AGA HUMI,12,0.00000,110,0.00000
MIR_GRP,CFK03,AGA HUMI,7,0.00000,78,0.00000
MIR_GRP,CFK05,AGA HUMI,23,0.00000,202,0.00000
MIR_GRP,CFK06,AGA HUMI,4,0.00000,109,0.00000
MIR_GRP,CFK07,AGA HUMI,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,AGA HUMI,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,AGA HUMI,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,AGA HUMI,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,AGA HUMI,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,AGA HUMI,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,AGA HUMI,10,0.00000,15960,0.00000
MIR_GRP,CFK01,AGA LAMA,8,0.00000,101,0.00000
MIR_GRP,CFK02,AGA LAMA,12,0.00000,110,0.00000
MIR_GRP,CFK03,AGA LAMA,7,0.00000,78,0.00000
MIR_GRP,CFK05,AGA LAMA,23,0.00000,202,0.00000
MIR_GRP,CFK06,AGA LAMA,4,0.00000,109,0.00000
MIR_GRP,CFK07,AGA LAMA,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,AGA LAMA,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,AGA LAMA,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,AGA LAMA,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,AGA LAMA,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,AGA LAMA,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,AGA LAMA,10,0.00000,15960,0.00000
MIR_GRP,CFK01,AGA SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,AGA SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,AGA SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,AGA SPE.,23,0.00000,202,0.00000
MIR_GRP,CFK06,AGA SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,AGA SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,AGA SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,AGA SPE.,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,AGA SPE.,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,AGA SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,AGA SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,AGA SPE.,10,0.00100,15960,0.01053
MIR_GRP,CFK01,BAR SUB.,8,0.12125,101,0.11839
MIR_GRP,CFK02,BAR SUB.,12,0.10167,110,0.08601
MIR_GRP,CFK03,BAR SUB.,7,0.00429,78,0.02544
MIR_GRP,CFK05,BAR SUB.,23,0.01435,202,0.02387
MIR_GRP,CFK06,BAR SUB.,4,0.10750,109,0.17552
MIR_GRP,CFK07,BAR SUB.,32,0.05125,339,0.03769
NCRMP_GRP,CFK01,BAR SUB.,10,0.29300,4718,0.15155
NCRMP_GRP,CFK02,BAR SUB.,20,0.17500,30239,0.08714
NCRMP_GRP,CFK03,BAR SUB.,9,0.08778,15652,0.10002
NCRMP_GRP,CFK05,BAR SUB.,7,0.10429,2596,0.12460
NCRMP_GRP,CFK06,BAR SUB.,9,0.17222,36727,0.13348
NCRMP_GRP,CFK07,BAR SUB.,10,0.13600,15960,0.11423
MIR_GRP,CFK01,CLI SPE.,8,0.01125,101,0.03825
MIR_GRP,CFK02,CLI SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,CLI SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,CLI SPE.,23,0.00217,202,0.00935
MIR_GRP,CFK06,CLI SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,CLI SPE.,32,0.00125,339,0.00604
NCRMP_GRP,CFK01,CLI SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,CLI SPE.,20,0.00250,30239,0.01145
NCRMP_GRP,CFK03,CLI SPE.,9,0.00333,15652,0.02037
NCRMP_GRP,CFK05,CLI SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,CLI SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,CLI SPE.,10,0.00400,15960,0.02103
MIR_GRP,CFK01,COL NATA,8,0.00000,101,0.00000
MIR_GRP,CFK02,COL NATA,12,0.02417,110,0.04370
MIR_GRP,CFK03,COL NATA,7,0.00000,78,0.00000
MIR_GRP,CFK05,COL NATA,23,0.00000,202,0.00000
MIR_GRP,CFK06,COL NATA,4,0.00000,109,0.00000
MIR_GRP,CFK07,COL NATA,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,COL NATA,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,COL NATA,20,0.00050,30239,0.00513
NCRMP_GRP,CFK03,COL NATA,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,COL NATA,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,COL NATA,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,COL NATA,10,0.00000,15960,0.00000
MIR_GRP,CFK01,CYA SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,CYA SPE.,12,0.00999,110,0.02830
MIR_GRP,CFK03,CYA SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,CYA SPE.,23,0.00391,202,0.01253
MIR_GRP,CFK06,CYA SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,CYA SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,CYA SPE.,10,0.00900,4718,0.03145
NCRMP_GRP,CFK02,CYA SPE.,20,0.00300,30239,0.01254
NCRMP_GRP,CFK03,CYA SPE.,9,0.00111,15652,0.01178
NCRMP_GRP,CFK05,CYA SPE.,7,0.00571,2596,0.03073
NCRMP_GRP,CFK06,CYA SPE.,9,0.00000,36727,0.00000
