COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
ACR CERV,MIR_GRP,CFK01,101,8,0,0
ACR PALM,MIR_GRP,CFK01,101,8,0,0
AGA AGAR,MIR_GRP,CFK01,101,8,0,0
AGA HUMI,MIR_GRP,CFK01,101,8,0,0
AGA LAMA,MIR_GRP,CFK01,101,8,0,0
AGA SPE.,MIR_GRP,CFK01,101,8,0,0
BAR SUB.,MIR_GRP,CFK01,101,8,0.12125,0.11838735290922893
CLI SPE.,MIR_GRP,CFK01,101,8,0.01125,0.038251747193642494
COL NATA,MIR_GRP,CFK01,101,8,0,0
CYA SPE.,MIR_GRP,CFK01,101,8,0,0
DIC SPE.,MIR_GRP,CFK01,101,8,0.043750000000000004,0.07418336343743852
DIC STOK,MIR_GRP,CFK01,101,8,0,0
DIP LABY,MIR_GRP,CFK01,101,8,0,0
EUS FAST,MIR_GRP,CFK01,101,8,0,0
GOR ENCR,MIR_GRP,CFK01,101,8,0.01125,0.038251747193642494
GOR GORG,MIR_GRP,CFK01,101,8,0.01625,0.04585649140636295
HAL SPE.,MIR_GRP,CFK01,101,8,0.21125,0.14804706850978944
HEL CUCU,MIR_GRP,CFK01,101,8,0,0
ISO SINU,MIR_GRP,CFK01,101,8,0,0
LOB SPE.,MIR_GRP,CFK01,101,8,0,0
MAC CALC,MIR_GRP,CFK01,101,8,0.0125,0.04029538652735531
MAC FLES,MIR_GRP,CFK01,101,8,0.0025,0.018111658626912715
MAD DECA,MIR_GRP,CFK01,101,8,0,0
MAG SPE.,MIR_GRP,CFK01,101,8,0,0
MEA MEAN,MIR_GRP,CFK01,101,8,0,0
MIL SPE.,MIR_GRP,CFK01,101,8,0,0
MON CAVE,MIR_GRP,CFK01,101,8,0.005,0.025581635695663196
ORB ANNU,MIR_GRP,CFK01,101,8,0.01,0.03608688242909329
ORB FAVE,MIR_GRP,CFK01,101,8,0.00375,0.022168258061651513
ORB FRAN,MIR_GRP,CFK01,101,8,0,0
OTH SPE.,MIR_GRP,CFK01,101,8,0.055,0.08268543516314594
PAL SPE.,MIR_GRP,CFK01,101,8,0,0
PEY SPE.,MIR_GRP,CFK01,101,8,0,0
POR ASTR,MIR_GRP,CFK01,101,8,0,0
POR PORI,MIR_GRP,CFK01,101,8,0,0
POR SPE.,MIR_GRP,CFK01,101,8,0,0
PSE CLIV,MIR_GRP,CFK01,101,8,0,0
PSE STRI,MIR_GRP,CFK01,101,8,0.00125,0.01281489848009584
RAM SPE.,MIR_GRP,CFK01,101,8,0,0
RHO CRUS,MIR_GRP,CFK01,101,8,0.02625,0.05798560016704728
SID RADI,MIR_GRP,CFK01,101,8,0,0
