SPECIES_CD,analysis_group,nstrat,n,wavdns,se_wdns,wcv_dns,wavp,se_wp,abd,se_abd
ACR CERV,MIR_GRP,6,98,0.5992031573012591,0.2802049908809196,46.762936320784775,0.07030132180667795,0.02387627692662478,1406629.4117647058,2631.1248643718354
ACR PALM,MIR_GRP,6,98,0.12046858359957398,0.10468705154125574,86.8998774728069,0.017209797657082002,0.01115141586178032,282799.99999999994,983.0114139723913
COL NATA,MIR_GRP,6,98,0.33604011359602415,0.059509063773742314,17.708916693583213,0.12042953496627617,0.014636683907887481,788854.1666666667,558.7901088354403
DIC STOK,MIR_GRP,6,98,0.1294867446446097,0.04046430736011643,31.249768052455924,0.1294867446446097,0.04046430736011642,303970.1330532213,379.9598461114932
DIP LABY,MIR_GRP,6,98,0.12425944818822098,0.031191774144804636,25.10213476689286,0.10229459195818903,0.024688254249975044,291699.05462184874,292.8907592197155
MEA MEAN,MIR_GRP,6,98,0.029020234291799788,0.028482776032570274,98.14798787003114,0.029020234291799788,0.028482776032570274,68125,267.45326694583486
MON CAVE,MIR_GRP,6,98,0.3191293407671908,0.0630246079937636,19.748923067447098,0.2104048946522166,0.04221094545408786,749156.1274509802,591.8010690614402
PSE CLIV,MIR_GRP,6,98,0.045720117653025,0.01917272801219996,41.934992726186536,0.045720117653025,0.01917272801219996,107327.97619047621,180.03191603455764
PSE STRI,MIR_GRP,6,98,0.12320679070350185,0.06259567766258971,50.8053795616077,0.0795433189250141,0.03397925176819039,289227.9411764706,587.7734132517173
ACR CERV,NCRMP_GRP,6,243,0.04178439269626037,0.021026487916651744,50.321391696411034,0.01586820964469651,0.007103087315365742,11061582.278481007,22265.368584700864
ACR PALM,NCRMP_GRP,6,243,0,0,0,0,0,0,0
COL NATA,NCRMP_GRP,6,243,0.17603190631764765,0.03513352087833936,19.95860955737269,0.11577307557197744,0.024613907178925674,46600926.55947086,37203.58792849112
DIC STOK,NCRMP_GRP,6,243,0.3954535722402146,0.06338592943552995,16.02866528084535,0.30173804850272445,0.04438319382866436,104688424.17915203,67120.62839787138
DIP LABY,NCRMP_GRP,6,243,0.15911177094759413,0.037867927785903935,23.799576587188078,0.1319078326053907,0.033489478716230946,42121659.1229566,40099.1060910494
MEA MEAN,NCRMP_GRP,6,243,0.030888066888204606,0.01934853501057669,62.64080908852674,0.030888066888204592,0.01934853501057669,8176997.947314405,20488.550693399866
MON CAVE,NCRMP_GRP,6,243,1.3290143805617656,0.13013270702810986,9.791670348450527,0.4673881927601624,0.039916407949240215,351829976.96611625,137800.12612620613
PSE CLIV,NCRMP_GRP,6,243,0.044527622616738476,0.017201665691766652,38.63144870730273,0.024570690849851806,0.008566319485348658,11787797.535329176,18215.18783432554
PSE STRI,NCRMP_GRP,6,243,0.1409376917833827,0.03687126701424062,26.161395541308234,0.09597443178254197,0.02363290681425571,37310435.145814896,39043.72206671968
