analysis_group,strat_cora,species_cd,avdns,n,ntot,se_dns,cv_dns,abd,se_abd,avp,se_p
MIR_GRP,CFK01,ACR_CERV,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,ACR_CERV,0.0000,16,110,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK03,ACR_CERV,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,ACR_CERV,0.0080,25,202,0.0052,64.80,4040,10.471179494,0.08000,0.05184
MIR_GRP,CFK06,ACR_CERV,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,ACR_CERV,0.1588,34,339,0.0775,48.77,134602.94118,262.58652463,0.14706,0.05848
NCRMP_GRP,CFK01,ACR_CERV,0.0000,27,4718,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK02,ACR_CERV,0.0101,79,30239,0.0059,57.83,765544.3038,1770.9353835,0.05063,0.02479
NCRMP_GRP,CFK03,ACR_CERV,0.0000,37,15652,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK05,ACR_CERV,0.0000,21,2596,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK06,ACR_CERV,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,ACR_CERV,0.0050,60,15960,0.0050,99.81,199500,796.49858757,0.01667,0.01664
MIR_GRP,CFK01,ACR_PALM,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,ACR_PALM,0.0000,16,110,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK03,ACR_PALM,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,ACR_PALM,0.0560,25,202,0.0487,86.90,28280,98.301141397,0.08000,0.05184
MIR_GRP,CFK06,ACR_PALM,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,ACR_PALM,0.0000,34,339,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK01,ACR_PALM,0.0000,27,4718,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK02,ACR_PALM,0.0000,79,30239,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK03,ACR_PALM,0.0000,37,15652,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK05,ACR_PALM,0.0000,21,2596,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK06,ACR_PALM,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,ACR_PALM,0.0000,60,15960,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK01,COL_NATA,0.0333,12,101,0.0211,63.29,8416.6666667,21.307038719,0.16667,0.10548
MIR_GRP,CFK02,COL_NATA,0.2500,16,110,0.0485,19.39,68750,53.324478432,0.81250,0.09316
MIR_GRP,CFK03,COL_NATA,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,COL_NATA,0.0040,25,202,0.0037,93.61,2020,7.5634912573,0.04000,0.03744
MIR_GRP,CFK06,COL_NATA,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,COL_NATA,0.0000,34,339,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK01,COL_NATA,0.0667,27,4718,0.0250,37.45,786333.33333,1177.7943508,0.29630,0.08929
NCRMP_GRP,CFK02,COL_NATA,0.0443,79,30239,0.0112,25.28,3349256.3291,3386.6604116,0.25316,0.04917
NCRMP_GRP,CFK03,COL_NATA,0.0165,37,15652,0.0074,44.54,646291.29129,1151.4086724,0.13514,0.05691
NCRMP_GRP,CFK05,COL_NATA,0.0048,21,2596,0.0047,99.59,30904.761905,123.11803234,0.04762,0.04743
NCRMP_GRP,CFK06,COL_NATA,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,COL_NATA,0.0033,60,15960,0.0033,99.81,133000,530.99905838,0.01667,0.01664
MIR_GRP,CFK01,DIP_LABY,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,DIP_LABY,0.0813,16,110,0.0210,25.90,22343.75,23.148411573,0.56250,0.11841
MIR_GRP,CFK03,DIP_LABY,0.0143,7,78,0.0136,95.41,2785.7142857,10.631105689,0.14286,0.13630
MIR_GRP,CFK05,DIP_LABY,0.0000,25,202,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK06,DIP_LABY,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,DIP_LABY,0.0088,34,339,0.0047,53.08,7477.9411765,15.876521508,0.08824,0.04683
NCRMP_GRP,CFK01,DIP_LABY,0.0148,27,4718,0.0088,59.07,174740.74074,412.89314678,0.11111,0.06146
NCRMP_GRP,CFK02,DIP_LABY,0.0166,79,30239,0.0049,29.75,1254642.0534,1492.9005385,0.13924,0.03915
NCRMP_GRP,CFK03,DIP_LABY,0.0351,37,15652,0.0124,35.21,1374837.8378,1936.2607288,0.21622,0.06853
NCRMP_GRP,CFK05,DIP_LABY,0.0095,21,2596,0.0065,68.64,61809.52381,169.706496,0.09524,0.06537
NCRMP_GRP,CFK06,DIP_LABY,0.0105,19,36727,0.0072,68.70,966500,2655.9671183,0.10526,0.07232
NCRMP_GRP,CFK07,DIP_LABY,0.0050,60,15960,0.0028,56.64,199500,451.99726263,0.05000,0.02832
