YEAR,SPECIES_CD,analysis_group,strat_cora,ntot,n,avdens,se_dns,cv_dns,avp,se_p,abd,se_abd
2022,ACR CERV,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,ACR CERV,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,ACR PALM,MIR_GRP,CFK01,101,8,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK01,101,12,0.16667,0.15645270130226088,93.87162078135654,0.09090909090909091,0.05548179792429379,42083.33333333333,158.01723
2024,COL NATA,MIR_GRP,CFK01,101,10,0.1,0.09492049826090786,94.92049826090785,0.09090909090909091,0.05548179792429379,25250,95.8697
2022,DIC STOK,MIR_GRP,CFK01,101,12,0.08333,0.07822635065113046,93.87162078135654,0.09090909090909091,0.05548179792429379,21041.66666666667,79.00861
2024,DIC STOK,MIR_GRP,CFK01,101,10,0.1,0.09492049826090786,94.92049826090785,0.09090909090909091,0.05548179792429379,25250,95.8697
2022,DIP LABY,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,DIP LABY,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,MEA MEAN,MIR_GRP,CFK01,101,12,0,0,0,0,0,0,0
2024,MEA MEAN,MIR_GRP,CFK01,101,10,0,0,0,0,0,0,0
2022,MON CAVE,MIR_GRP,CFK01,101,12,0.41667,0.18116851879733495,43.48044451136039,0.4090909090909091,0.09488847380039418,105208.33333333331,182.9802
2024,MON CAVE,MIR_GRP,CFK01,101,10,4.4,1.6873436854628305,38.348720124155236,0.4090909090909091,0.09488847380039418,1111000.0000000002,1704.21712
2022,PSE CLIV,MIR_GRP,CFK01,101,12,0.16667,0.105480389699987,63.2882338199922,0.09090909090909091,0.05548179792429379,42083.33333333334,106.53519
2024,PSE CLIV,MIR_GRP,CFK01,101,10,0,0,0,0.09090909090909091,0.05548179792429379,0,0
2022,PSE STRI,MIR_GRP,CFK01,101,12,0,0,0,0.045454545454545456,0.04020038181384462,0,0
2024,PSE STRI,MIR_GRP,CFK01,101,10,0.1,0.09492049826090786,94.92049826090785,0.045454545454545456,0.04020038181384462,25250,95.8697
2022,ACR CERV,MIR_GRP,CFK02,110,16,0,0,0,0,0,0,0
2024,ACR CERV,MIR_GRP,CFK02,110,12,0,0,0,0,0,0,0
2022,ACR PALM,MIR_GRP,CFK02,110,12,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK02,110,16,2.5625,0.4696115819257313,18.3263056361261,0.7857142857142857,0.06818010030131597,704687.5,516.57274
2024,COL NATA,MIR_GRP,CFK02,110,12,1.66667,0.4837107864056949,29.0226471843417,0.7857142857142857,0.06818010030131597,458333.33333333326,532.08187
2022,DIC STOK,MIR_GRP,CFK02,110,16,0.0625,0.05777601735857346,92.44162777371754,0.03571428571428571,0.030835610572944844,17187.5,63.55362
2024,DIC STOK,MIR_GRP,CFK02,110,12,0,0,0,0.03571428571428571,0.030835610572944844,0,0
