analysis_group,SPECIES_CD,n,Lbar,YEAR,SE_L,cv_L,L_LCI,L_UCI
MIR_GRP,ACR CERV,98,21.066679961,2022,6.170470828,0.2929019114,8.8115922801,33.321767641
MIR_GRP,ACR PALM,98,12.5,2022,0.0519024764,0.0041521981,12.396917202,12.603082798
MIR_GRP,AGA AGAR,98,9.5997976863,2022,0.3429958409,0.0357294864,8.9185783398,10.281017033
MIR_GRP,AGA FRAG,98,,2022,0,,,
MIR_GRP,AGA HUMI,98,,2022,0,,,
MIR_GRP,AGA LAMA,98,10,2022,1.929509E-16,1.929509E-17,10,10
MIR_GRP,AGA SPE.,98,,2022,0,,,
MIR_GRP,CLA ABRU,98,,2022,0,,,
MIR_GRP,COL NATA,98,48.556080569,2022,8.6948021719,0.1790672161,31.287452947,65.824708191
MIR_GRP,DIC STOK,98,8.1473840161,2022,2.235194506,0.2743450538,3.708094792,12.58667324
MIR_GRP,DIP LABY,98,28.974301154,2022,3.4534289867,0.1191893799,22.115493097,35.833109211
MIR_GRP,EUS FAST,98,7.7390408135,2022,0.593036457,0.0766291936,6.5612192207,8.9168624063
MIR_GRP,FAV FRAG,98,4,2022,0,0,4,4
MIR_GRP,HEL CUCU,98,12.31248586,2022,1.7486783195,0.1420247982,8.8394597772,15.785511944
MIR_GRP,ISO RIGI,98,,2022,0,,,
MIR_GRP,ISO SPE.,98,,2022,0,,,
MIR_GRP,MAD AURE,98,,2022,0,,,
MIR_GRP,MAD DECA,98,35,2022,1.794594E-15,5.127413E-17,35,35
MIR_GRP,MAD FORM,98,,2022,0,,,
MIR_GRP,MAD SENA,98,,2022,0,,,
MIR_GRP,MAN AREO,98,,2022,0,,,
MIR_GRP,MEA MEAN,98,16,2022,0,0,16,16
MIR_GRP,MON CAVE,98,22.748793578,2022,3.8536901331,0.1694019562,15.095032334,30.402554821
MIR_GRP,MUS ANGU,98,,2022,0,,,
MIR_GRP,MYC ALIC,98,15,2022,9.312805E-17,6.208537E-18,15,15
MIR_GRP,MYC FERO,98,,2022,0,,,
MIR_GRP,MYC LAMA,98,,2022,0,,,
