analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,98,0.0145698005,2022,0.1013117196,6.9535419692,-0.186644019,0.2157836205,Bleach_all
MIR_GRP,ACR PALM,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,AGA AGAR,98,6.7382467144,2022,0.9401767961,0.139528402,4.8709744441,8.6055189847,Bleach_all
MIR_GRP,AGA FRAG,98,,2022,0,,,,Bleach_all
MIR_GRP,AGA HUMI,98,,2022,0,,,,Bleach_all
MIR_GRP,AGA LAMA,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,AGA SPE.,98,,2022,0,,,,Bleach_all
MIR_GRP,CLA ABRU,98,,2022,0,,,,Bleach_all
MIR_GRP,COL NATA,98,2.4743748948,2022,0.5451310887,0.2203106287,1.3916974985,3.557052291,Bleach_all
MIR_GRP,DIC STOK,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,DIP LABY,98,0.1291546199,2022,0.1040863872,0.8059052572,-0.077569929,0.3358791693,Bleach_all
MIR_GRP,EUS FAST,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,FAV FRAG,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,HEL CUCU,98,1.1785326456,2022,0.3860439265,0.3275632016,0.4118160853,1.9452492058,Bleach_all
MIR_GRP,ISO RIGI,98,,2022,0,,,,Bleach_all
MIR_GRP,ISO SPE.,98,,2022,0,,,,Bleach_all
MIR_GRP,MAD AURE,98,,2022,0,,,,Bleach_all
MIR_GRP,MAD DECA,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MAD FORM,98,,2022,0,,,,Bleach_all
MIR_GRP,MAD SENA,98,,2022,0,,,,Bleach_all
MIR_GRP,MAN AREO,98,,2022,0,,,,Bleach_all
MIR_GRP,MEA MEAN,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MON CAVE,98,0.9293849086,2022,0.2307239255,0.2482544352,0.4711472771,1.3876225401,Bleach_all
MIR_GRP,MUS ANGU,98,,2022,0,,,,Bleach_all
MIR_GRP,MYC ALIC,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,MYC FERO,98,,2022,0,,,,Bleach_all
MIR_GRP,MYC LAMA,98,,2022,0,,,,Bleach_all
MIR_GRP,OCU DIFF,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,OCU SPE.,98,3,2022,2.069512E-17,6.898374E-18,3,3,Bleach_all
MIR_GRP,ORB ANNU,98,5.2231542346,2022,1.7955471824,0.3437668316,1.6570425443,8.7892659249,Bleach_all
MIR_GRP,ORB FAVE,98,0.3403425748,2022,0.0978810437,0.2875956491,0.1459423732,0.5347427764,Bleach_all
MIR_GRP,ORB FRAN,98,0,2022,0,,0,0,Bleach_all
MIR_GRP,PHY AMER,98,,2022,0,,,,Bleach_all
MIR_GRP,POR ASTR,98,0.4184853966,2022,0.1582445858,0.3781364584,0.1041979901,0.7327728031,Bleach_all
MIR_GRP,POR BRAN,98,,2022,0,,,,Bleach_all
MIR_GRP,POR DIVA,98,,2022,0,,,,Bleach_all
MIR_GRP,POR FURC,98,2.5114522068,2022,0.4922257595,0.1959924852,1.533849361,3.4890550525,Bleach_all
MIR_GRP,POR PORI,98,3.0960656527,2022,0.8676731289,0.2802502357,1.3727919238,4.8193393817,Bleach_all
MIR_GRP,POR SPE.,98,,2022,0,,,,Bleach_all
MIR_GRP,PSE CLIV,98,0.2595515526,2022,0.0898910104,0.3463320081,0.0810202468,0.4380828584,Bleach_all
MIR_GRP,PSE STRI,98,0.0594254481,2022,0.0243996367,0.4105923896,0.0109656634,0.1078852327,Bleach_all
MIR_GRP,SCO CUBE,98,,2022,0,,,,Bleach_all
MIR_GRP,SCO LACE,98,,2022,0,,,,Bleach_all
MIR_GRP,SCO SPE.,98,,2022,0,,,,Bleach_all
MIR_GRP,SID RADI,98,0.3063321685,2022,0.2090530285,0.6824390318,-0.108865191,0.7215295279,Bleach_all
MIR_GRP,SID SIDE,98,2.0735517974,2022,0.4101079617,0.1977804279,1.2590419862,2.8880616086,Bleach_all
MIR_GRP,SID SPE.,98,,2022,0,,,,Bleach_all
MIR_GRP,SOL BOUR,98,0.4540426461,2022,0.1733140494,0.3817131516,0.1098259841,0.7982593081,Bleach_all
MIR_GRP,SOL HYAD,98,,2022,0,,,,Bleach_all
MIR_GRP,STE INTE,98,0.3761737975,2022,0.1320098469,0.3509278098,0.1139908469,0.638356748,Bleach_all
NCRMP_GRP,ACR CERV,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,ACR PALM,243,,2022,0,,,,Bleach_all
