analysis_group,SPECIES_CD,n,Lbar,YEAR,SE_L,cv_L,L_LCI,L_UCI
MIR_GRP,ACR CERV,121,22.803705786,2024,4.856966127,0.2129902119,13.182093297,32.425318275
MIR_GRP,ACR PALM,121,,2024,0,,,
MIR_GRP,COL NATA,121,77.2074304,2024,22.798162711,0.2952845677,32.044445662,122.37041514
MIR_GRP,DIC STOK,121,8.074665908,2024,0.9906282915,0.1226835021,6.1122388923,10.037092924
MIR_GRP,DIP LABY,121,19.322617247,2024,3.93134637,0.2034582748,11.534650367,27.110584126
MIR_GRP,EUS FAST,121,11.714163498,2024,1.0206565944,0.0871301305,9.6922506457,13.73607635
MIR_GRP,MEA MEAN,121,7,2024,1.108188E-16,1.583126E-17,7,7
MIR_GRP,MON CAVE,121,22.378405982,2024,3.1344735291,0.1400668811,16.169038063,28.587773901
MIR_GRP,PSE CLIV,121,7.3333333333,2024,0.2751115348,0.0375152093,6.7883395018,7.8783271648
MIR_GRP,PSE STRI,121,34.85004832,2024,11.983517431,0.3438594208,11.110792586,58.589304053
NCRMP_GRP,ACR CERV,346,7.7207605291,2024,0.5610623299,0.0726693086,6.6171585225,8.8243625357
NCRMP_GRP,ACR PALM,346,,2024,0,,,
NCRMP_GRP,COL NATA,346,20.441820811,2024,4.1613751111,0.2035716461,12.256452309,28.627189313
NCRMP_GRP,DIC STOK,346,7.7166575911,2024,0.5765871514,0.0747198051,6.5825184708,8.8507967115
NCRMP_GRP,DIP LABY,346,11.463998083,2024,2.6883413154,0.2345029453,6.1760671132,16.751929052
NCRMP_GRP,EUS FAST,346,8.4197295988,2024,0.3889945862,0.0462003657,7.6545825145,9.1848766832
NCRMP_GRP,MEA MEAN,346,7.1905199965,2024,0.3825871564,0.0532071612,6.4379762398,7.9430637532
NCRMP_GRP,MON CAVE,346,23.348170402,2024,2.5301988193,0.1083681837,18.371303581,28.325037223
NCRMP_GRP,PSE CLIV,346,17.265814268,2024,3.957071648,0.2291853478,9.4823079119,25.049320624
NCRMP_GRP,PSE STRI,346,12.000410054,2024,1.9913520226,0.1659403315,8.0834475871,15.917372521
