analysis_group,SPECIES_CD,n,Lbar,YEAR,SE_L,cv_L,L_LCI,L_UCI
MIR_GRP,ACR CERV,121,22.803705786,2024,4.856966127,0.2129902119,13.182093297,32.425318275
MIR_GRP,ACR PALM,121,,2024,0,,,
MIR_GRP,AGA AGAR,121,9.8085633986,2024,1.2335630576,0.1257638869,7.3648844825,12.252242315
MIR_GRP,AGA FRAG,121,7.5,2024,4.190004E-16,5.586672E-17,7.5,7.5
MIR_GRP,AGA GRAH,121,,2024,0,,,
MIR_GRP,AGA HUMI,121,4,2024,0,0,4,4
MIR_GRP,AGA LAMA,121,7,2024,1.960908E-16,2.801297E-17,7,7
MIR_GRP,AGA SPE.,121,,2024,0,,,
MIR_GRP,CLA ABRU,121,,2024,0,,,
MIR_GRP,COL NATA,121,77.2074304,2024,22.798162711,0.2952845677,32.044445662,122.37041514
MIR_GRP,DIC STOK,121,8.074665908,2024,0.9906282915,0.1226835021,6.1122388923,10.037092924
MIR_GRP,DIP LABY,121,19.322617247,2024,3.93134637,0.2034582748,11.534650367,27.110584126
MIR_GRP,EUS FAST,121,11.714163498,2024,1.0206565944,0.0871301305,9.6922506457,13.73607635
MIR_GRP,FAV FRAG,121,4,2024,0,0,4,4
MIR_GRP,HEL CUCU,121,,2024,0,,,
MIR_GRP,ISO RIGI,121,,2024,0,,,
MIR_GRP,ISO SPE.,121,,2024,0,,,
MIR_GRP,MAD AURE,121,,2024,0,,,
MIR_GRP,MAD DECA,121,18.397321734,2024,2.3519495649,0.1278419543,13.738127761,23.056515708
MIR_GRP,MAD FORM,121,,2024,0,,,
MIR_GRP,MAD SENA,121,,2024,0,,,
MIR_GRP,MAD SPE.,121,,2024,0,,,
MIR_GRP,MAN AREO,121,,2024,0,,,
MIR_GRP,MEA MEAN,121,7,2024,1.108188E-16,1.583126E-17,7,7
MIR_GRP,MON CAVE,121,22.378405982,2024,3.1344735291,0.1400668811,16.169038063,28.587773901
MIR_GRP,MUS ANGU,121,,2024,0,,,
MIR_GRP,MYC ALIC,121,,2024,0,,,
MIR_GRP,MYC FERO,121,,2024,0,,,
MIR_GRP,MYC LAMA,121,,2024,0,,,
MIR_GRP,MYC SPE.,121,,2024,0,,,
MIR_GRP,OCU DIFF,121,,2024,0,,,
MIR_GRP,OCU SPE.,121,,2024,0,,,
MIR_GRP,ORB ANCX,121,,2024,0,,,
MIR_GRP,ORB ANNU,121,80.790796019,2024,14.130848231,0.1749066593,52.797694509,108.78389753
MIR_GRP,ORB FAVE,121,113.22533621,2024,22.934909336,0.2025598696,67.791457456,158.65921496
MIR_GRP,ORB FRAN,121,30,2024,1.676002E-15,5.586672E-17,30,30
MIR_GRP,ORB SPE.,121,,2024,0,,,
MIR_GRP,PHY AMER,121,,2024,0,,,
MIR_GRP,POR ASTR,121,10.30314953,2024,0.3896088961,0.0378145435,9.5313373073,11.074961752
MIR_GRP,POR BRAN,121,,2024,0,,,
MIR_GRP,POR COLO,121,,2024,0,,,
MIR_GRP,POR DIVA,121,,2024,0,,,
MIR_GRP,POR FURC,121,10.529848957,2024,0.4693164589,0.0445701036,9.6001366668,11.459561247
MIR_GRP,POR PORI,121,10.949743676,2024,1.4241209089,0.1300597485,8.1285711236,13.770916228
MIR_GRP,POR SPE.,121,,2024,0,,,
MIR_GRP,PSE CLIV,121,7.3333333333,2024,0.2751115348,0.0375152093,6.7883395018,7.8783271648
MIR_GRP,PSE SPE,121,,2024,0,,,
MIR_GRP,PSE STRI,121,34.85004832,2024,11.983517431,0.3438594208,11.110792586,58.589304053
MIR_GRP,SCO CUBE,121,,2024,0,,,
MIR_GRP,SCO LACE,121,,2024,0,,,
MIR_GRP,SCO SPE.,121,,2024,0,,,
MIR_GRP,SID RADI,121,7.3841928042,2024,0.6069589224,0.0821970578,6.1818118537,8.5865737546
MIR_GRP,SID SIDE,121,20.677929368,2024,1.5368369656,0.0743225755,17.633467176,23.72239156
MIR_GRP,SID SPE.,121,,2024,0,,,
MIR_GRP,SOL BOUR,121,10.738742962,2024,1.1839955486,0.1102545757,8.3932568995,13.084229025
MIR_GRP,SOL HYAD,121,,2024,0,,,
MIR_GRP,STE INTE,121,17.787506436,2024,1.4651699219,0.0823707318,14.885016105,20.689996766
NCRMP_GRP,ACR CERV,346,7.7207605291,2024,0.5610623299,0.0726693086,6.6171585225,8.8243625357
NCRMP_GRP,ACR PALM,346,,2024,0,,,
NCRMP_GRP,AGA AGAR,346,8.8797523562,2024,0.5129324978,0.0577642796,7.8708210778,9.8886836346
NCRMP_GRP,AGA FRAG,346,11.246872133,2024,0.7864170088,0.069923175,9.7000005237,12.793743741
NCRMP_GRP,AGA GRAH,346,,2024,0,,,
NCRMP_GRP,AGA HUMI,346,6.8152303291,2024,0.4540522388,0.0666231685,5.9221157229,7.7083449352
NCRMP_GRP,AGA LAMA,346,15.241818432,2024,14.922921021,0.9790774695,-14.11136517,44.595002037
NCRMP_GRP,AGA SPE.,346,8.8022748597,2024,0.0762062272,0.0086575605,8.6523782425,8.9521714768
NCRMP_GRP,CLA ABRU,346,7,2024,1.527137E-17,2.181624E-18,7,7
NCRMP_GRP,COL NATA,346,20.441820811,2024,4.1613751111,0.2035716461,12.256452309,28.627189313
NCRMP_GRP,DIC STOK,346,7.7166575911,2024,0.5765871514,0.0747198051,6.5825184708,8.8507967115
NCRMP_GRP,DIP LABY,346,11.463998083,2024,2.6883413154,0.2345029453,6.1760671132,16.751929052
NCRMP_GRP,EUS FAST,346,8.4197295988,2024,0.3889945862,0.0462003657,7.6545825145,9.1848766832
NCRMP_GRP,FAV FRAG,346,4.4798117773,2024,0.128031377,0.0285796331,4.2279757922,4.7316477624
NCRMP_GRP,HEL CUCU,346,11.275925943,2024,0.4330586452,0.038405595,10.424105451,12.127746435
NCRMP_GRP,ISO RIGI,346,,2024,0,,,
NCRMP_GRP,ISO SPE.,346,,2024,0,,,
