"","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","NEW_STN","NEW_PSU"
"1","W1172",12305,2022,2,9500
"2","W1177",12169,2022,2,9501
"3","W1178",12176,2022,1,9502
"4","W1179",12172,2022,1,9503
"5","W1180",12354,2022,2,9504
"6","W1182",12455,2022,2,9505
"7","W1184",12452,2022,1,9506
"8","W1185",12893,2022,2,9507
"9","W1186",12705,2022,1,9508
"10","W1188",12876,2022,2,9509
"11","W1189",12872,2022,2,9510
"12","W1190",12875,2022,2,9511
"13","W1191",12397,2022,1,9512
"14","W1192",12900,2022,2,9513
"15","W1193",12400,2022,1,9514
"16","W1194",12874,2022,2,9515
"17","W1195",12878,2022,2,9516
"18","W1196",12812,2022,1,9517
"19","W1197",12859,2022,2,9518
"20","W1198",12816,2022,1,9519
"21","W1199",12896,2022,2,9520
"22","W1200",12897,2022,2,9521
"23","W1201",12722,2022,1,9522
"24","W1202",12741,2022,1,9523
"25","W1203",12729,2022,1,9524
"26","W1205",12610,2022,1,9525
"27","W1206",10589,2022,2,9526
"28","W1207",12957,2022,2,9527
"29","W1208",12295,2022,1,9528
"30","W1209",10581,2022,2,9529
"31","W1210",10586,2022,2,9530
"32","W1211",10531,2022,1,9531
"33","W1212",10592,2022,2,9532
"34","W1213",10570,2022,2,9533
"35","W1214",10559,2022,1,9534
"36","W1215",12493,2022,1,9535
"37","W1216",12999,2022,2,9536
"38","W1217",12293,2022,1,9537
"39","W1218",12498,2022,1,9538
"40","W1219",12504,2022,1,9539
"41","W1220",12530,2022,1,9540
"42","W1221",12541,2022,1,9541
"43","W1222",13002,2022,2,9542
"44","W1223",10571,2022,1,9543
"45","W1224",10637,2022,1,9544
"46","W1225",10638,2022,1,9545
"47","W1226",12513,2022,1,9546
"48","W1227",12560,2022,1,9547
"49","W1229",13061,2022,2,9548
"50","W1230",13063,2022,2,9549
"51","W1231",10647,2022,2,9550
"52","W1232",13172,2022,2,9551
"53","W1233",13066,2022,2,9552
"54","W1234",13114,2022,2,9553
"55","W1235",13176,2022,2,9554
"56","W1236",13074,2022,1,9555
"57","W1238",13174,2022,2,9556
"58","W1240",13105,2022,2,9557
"59","W1241",13080,2022,2,9558
"60","W1242",12702,2022,1,9559
"61","W1244",13108,2022,2,9560
"62","W1245",12565,2022,1,9561
"63","W1246",12951,2022,1,9562
"64","W1248",12606,2022,1,9563
"65","W1249",12365,2022,1,9564
"66","W1250",12961,2022,2,9565
"67","W1251",12715,2022,1,9566
"68","W1252",10765,2022,1,9567
"69","W1253",12920,2022,2,9568
"70","W1255",12603,2022,2,9569
"71","W1256",12711,2022,2,9570
"72","W1257",12716,2022,1,9571
"73","W1258",12733,2022,1,9572
"74","W1259",12742,2022,1,9573
"75","W1260",12773,2022,2,9574
"76","W1262",12787,2022,1,9575
"77","W1263",12827,2022,2,9576
"78","W1264",12830,2022,1,9577
"79","W1265",12835,2022,1,9578
"80","W1266",12844,2022,2,9579
"81","W1269",12771,2022,1,9580
"82","W1270",12853,2022,2,9581
"83","W1271",12858,2022,1,9582
"84","W1272",12868,2022,1,9583
"85","W1273",13092,2022,2,9584
"86","W1275",12992,2022,2,9585
"87","W1276",13026,2022,2,9586
"88","W1279",10603,2022,2,9587
"89","W1281",10604,2022,2,9588
"90","W1282",11064,2022,1,9589
"91","W1283",10605,2022,2,9590
"92","W1284",10606,2022,1,9591
"93","W1285",12931,2022,2,9592
"94","W1286",10607,2022,2,9593
"95","W1287",10728,2022,1,9594
"96","W1288",12765,2022,2,9595
"97","W1289",11115,2022,2,9596
