YEAR,SPECIES_CD,avDen,SE_avDen,analysis_group
2022,ACR CERV,0.05905982584727183,0.027986711570229226,MIR_GRP
2024,ACR CERV,0.005690225738036616,0.003900842861577243,MIR_GRP
2022,ACR PALM,0.0120468583599574,0.010468705154125573,MIR_GRP
2024,ACR PALM,0,0,MIR_GRP
2022,AGA AGAR,0.3114252199282269,0.04705815210737711,MIR_GRP
2024,AGA AGAR,0.05148876767110416,0.00814244905080178,MIR_GRP
2022,COL NATA,0.03267181398651047,0.005809051786624246,MIR_GRP
2024,COL NATA,0.0200200710205342,0.005402156528436431,MIR_GRP
2022,DIC STOK,0.012948674464460973,0.004046430736011642,MIR_GRP
2024,DIC STOK,0.011086074815338486,0.0037157660746400395,MIR_GRP
2022,DIP LABY,0.012425944818822098,0.003272082396414442,MIR_GRP
2024,DIP LABY,0.006378338737069632,0.002419039511099085,MIR_GRP
2022,MEA MEAN,0.002902023429179979,0.002848277603257028,MIR_GRP
2024,MEA MEAN,5.232076253626193e-4,4.714333523602758e-4,MIR_GRP
2022,MON CAVE,0.02997310447075529,0.0059610422328299564,MIR_GRP
2024,MON CAVE,0.0880347935240856,0.018573055388365654,MIR_GRP
2022,ORB ANNU,0.1009115558896615,0.02399571821238591,MIR_GRP
2024,ORB ANNU,0.052043201449664,0.010958789603683936,MIR_GRP
2022,ORB FAVE,0.09911297554165435,0.01602142669406132,MIR_GRP
2024,ORB FAVE,0.05363746432906132,0.010268535711546414,MIR_GRP
2022,POR ASTR,0.7050031575995681,0.0729163085620939,MIR_GRP
2024,POR ASTR,0.685175182353015,0.10601571491179919,MIR_GRP
2022,POR PORI,0.20654784725391756,0.03315906709720067,MIR_GRP
2024,POR PORI,0.1363997343747807,0.02026488704168142,MIR_GRP
2022,PSE CLIV,0.0045720117653025,0.0019172728012199962,MIR_GRP
2024,PSE CLIV,0.001569622876087858,7.941711232363681e-4,MIR_GRP
2022,PSE STRI,0.012320679070350185,0.006259567766258972,MIR_GRP
2024,PSE STRI,0.005759814078967684,0.0023765931425916093,MIR_GRP
2022,SID RADI,0.022678985332152034,0.006170719639591437,MIR_GRP
2024,SID RADI,0.04320722599215627,0.006632517788174406,MIR_GRP
2022,SID SIDE,0.4442148226702821,0.050110104067219365,MIR_GRP
2024,SID SIDE,0.6150442303941883,0.040942831518330454,MIR_GRP
2022,STE INTE,0.05598306649603399,0.010834646958482283,MIR_GRP
2024,STE INTE,0.060815469700293945,0.011518950344056918,MIR_GRP
2022,ACR CERV,0.003816965171583947,0.0017284641026365918,NCRMP_GRP
2024,ACR CERV,0.0014192440518215116,0.0010659744946648366,NCRMP_GRP
2022,ACR PALM,0,0,NCRMP_GRP
2024,ACR PALM,0,0,NCRMP_GRP
2022,AGA AGAR,0.20870642225451363,0.025466030962412574,NCRMP_GRP
2024,AGA AGAR,0.054109610932545044,0.007504379508432534,NCRMP_GRP
2022,COL NATA,0.01805876386077996,0.0037695060903738488,NCRMP_GRP
2024,COL NATA,0.012942920940192181,0.0026605465562646357,NCRMP_GRP
2022,DIC STOK,0.039082203778942795,0.005945411417527747,NCRMP_GRP
2024,DIC STOK,0.030752502572795725,0.003907978995965664,NCRMP_GRP
2022,DIP LABY,0.014479914397133612,0.003482269162936493,NCRMP_GRP
2024,DIP LABY,0.018916613975335388,0.0033546756598907294,NCRMP_GRP
2022,MEA MEAN,0.0013736366588831034,6.923733941763951e-4,NCRMP_GRP
2024,MEA MEAN,0.0023105106037765747,7.022216773626028e-4,NCRMP_GRP
2022,MON CAVE,0.14811195124058374,0.014757200998722485,NCRMP_GRP
2024,MON CAVE,0.1459099972625588,0.012795007448474059,NCRMP_GRP
2022,ORB ANNU,0.02089518681640605,0.005585287847119931,NCRMP_GRP
2024,ORB ANNU,0.019658753632035723,0.006654508700729576,NCRMP_GRP
2022,ORB FAVE,0.04809542207877543,0.006434908684307975,NCRMP_GRP
2024,ORB FAVE,0.04024756304289699,0.006858268743027454,NCRMP_GRP
2022,POR ASTR,0.6278468578089681,0.0490463588699013,NCRMP_GRP
2024,POR ASTR,0.3431726423378388,0.026098063666682672,NCRMP_GRP
2022,POR PORI,0.2752655419646346,0.05191546864443971,NCRMP_GRP
2024,POR PORI,0.10630078337027536,0.01419155539554643,NCRMP_GRP
2022,PSE CLIV,0.0054036049932991975,0.0018045619156098855,NCRMP_GRP
2024,PSE CLIV,0.006914495242965406,0.0016562780608990627,NCRMP_GRP
2022,PSE STRI,0.014576542803558912,0.0036710497146169967,NCRMP_GRP
2024,PSE STRI,0.012249594989624996,0.0022827549463493675,NCRMP_GRP
2022,SID RADI,0.0632182277280077,0.013583435980988753,NCRMP_GRP
2024,SID RADI,0.07611266085259118,0.007761404696849755,NCRMP_GRP
2022,SID SIDE,1.25281839431436,0.07490969782990656,NCRMP_GRP
2024,SID SIDE,1.2809506568673796,0.059362356278021056,NCRMP_GRP
2022,STE INTE,0.4682183144644091,0.043232108529605476,NCRMP_GRP
2024,STE INTE,0.37476199184528064,0.030156197496312546,NCRMP_GRP
