"","metric","species_cd","analysis_group","year","sig"
"1","density","ACR CERV","MIR_GRP",NA,1
"2","density","AGA AGAR",NA,2022,1
"3","density","AGA AGAR",NA,2022,1
"4","density","AGA AGAR","MIR_GRP",NA,1
"5","density","COL NATA",NA,2022,1
"6","density","COL NATA","MIR_GRP",NA,1
"7","density","DIC STOK","NCRMP_GRP",NA,1
"8","density","DIC STOK","NCRMP_GRP",NA,1
"9","density","DIP LABY","NCRMP_GRP",NA,1
"10","density","EUS FAST","NCRMP_GRP",NA,1
"11","density","MEA MEAN","NCRMP_GRP",NA,1
"12","density","MON CAVE",NA,2024,1
"13","density","MON CAVE","NCRMP_GRP",NA,1
"14","density","MON CAVE","NCRMP_GRP",NA,1
"15","density","ORB ANNU",NA,2022,1
"16","density","ORB ANNU","MIR_GRP",NA,1
"17","density","ORB ANNU","MIR_GRP",NA,1
"18","density","ORB FAVE",NA,2022,1
"19","density","ORB FAVE","MIR_GRP",NA,1
"20","density","POR ASTR",NA,2022,1
"21","density","POR ASTR","MIR_GRP",NA,1
"22","density","POR PORI",NA,2022,1
"23","density","POR PORI",NA,2022,1
"24","density","PSE CLIV","NCRMP_GRP",NA,1
"25","density","PSE STRI","NCRMP_GRP",NA,1
"26","density","SID RADI",NA,2024,1
"27","density","SID RADI","NCRMP_GRP",NA,1
"28","density","SID RADI","NCRMP_GRP",NA,1
"29","density","SID SIDE",NA,2024,1
"30","density","SID SIDE","NCRMP_GRP",NA,1
"31","density","SID SIDE","NCRMP_GRP",NA,1
"32","density","STE INTE",NA,2022,1
"33","density","STE INTE","NCRMP_GRP",NA,1
"34","density","STE INTE","NCRMP_GRP",NA,1
"35","mortality","AGA AGAR",NA,2024,1
"36","mortality","AGA AGAR",NA,2024,1
"37","mortality","COL NATA",NA,2024,1
"38","mortality","COL NATA","MIR_GRP",NA,1
"39","mortality","EUS FAST",NA,2022,1
"40","mortality","EUS FAST","NCRMP_GRP",NA,1
"41","mortality","MEA MEAN",NA,2024,1
"42","mortality","MEA MEAN","MIR_GRP",NA,1
"43","mortality","ORB ANNU",NA,2022,1
"44","mortality","ORB ANNU",NA,2024,1
"45","mortality","ORB ANNU","MIR_GRP",NA,1
"46","mortality","ORB FAVE",NA,2022,1
"47","mortality","ORB FAVE",NA,2024,1
"48","mortality","ORB FAVE","MIR_GRP",NA,1
"49","mortality","POR ASTR",NA,2024,1
"50","mortality","POR ASTR",NA,2024,1
"51","mortality","POR PORI",NA,2024,1
"52","mortality","POR PORI",NA,2024,1
"53","mortality","POR PORI","MIR_GRP",NA,1
"54","mortality","PSE CLIV","NCRMP_GRP",NA,1
"55","mortality","PSE STRI",NA,2022,1
"56","mortality","SID SIDE","MIR_GRP",NA,1
"57","size","ACR CERV",NA,2022,1
"58","size","ACR CERV","MIR_GRP",NA,1
"59","size","AGA FRAG",NA,2024,1
"60","size","AGA FRAG","NCRMP_GRP",NA,1
"61","size","AGA HUMI",NA,2022,1
"62","size","AGA HUMI","NCRMP_GRP",NA,1
"63","size","AGA LAMA",NA,2022,1
"64","size","AGA SPE.",NA,2024,1
"65","size","CLA ABRU",NA,2024,1
"66","size","COL NATA",NA,2022,1
"67","size","COL NATA","MIR_GRP",NA,1
"68","size","DIP LABY",NA,2022,1
"69","size","DIP LABY","MIR_GRP",NA,1
"70","size","DIP LABY","MIR_GRP",NA,1
"71","size","EUS FAST",NA,2024,1
"72","size","EUS FAST","MIR_GRP",NA,1
"73","size","FAV FRAG",NA,2022,1
"74","size","FAV FRAG","NCRMP_GRP",NA,1
"75","size","FAV FRAG","NCRMP_GRP",NA,1
"76","size","HEL CUCU",NA,2024,1
"77","size","HEL CUCU","MIR_GRP",NA,1
"78","size","MAD DECA",NA,2022,1
"79","size","MAD DECA",NA,2024,1
"80","size","MAD DECA","MIR_GRP",NA,1
"81","size","MEA MEAN",NA,2022,1
"82","size","MYC FERO",NA,2024,1
"83","size","OCU DIFF","MIR_GRP",NA,1
"84","size","ORB ANNU",NA,2024,1
"85","size","ORB ANNU","NCRMP_GRP",NA,1
"86","size","ORB FAVE",NA,2024,1
"87","size","ORB FAVE","NCRMP_GRP",NA,1
"88","size","ORB FRAN",NA,2022,1
"89","size","ORB FRAN",NA,2022,1
"90","size","ORB FRAN","MIR_GRP",NA,1
"91","size","POR ASTR",NA,2022,1
"92","size","POR ASTR",NA,2022,1
"93","size","POR ASTR","MIR_GRP",NA,1
"94","size","POR BRAN",NA,2022,1
"95","size","POR DIVA",NA,2022,1
"96","size","POR FURC",NA,2022,1
"97","size","POR FURC","MIR_GRP",NA,1
"98","size","PSE CLIV",NA,2022,1
"99","size","PSE CLIV",NA,2022,1
"100","size","PSE CLIV","NCRMP_GRP",NA,1
"101","size","PSE STRI","MIR_GRP",NA,1
"102","size","SCO SPE.",NA,2022,1
"103","size","SID SIDE",NA,2022,1
"104","size","SID SIDE","MIR_GRP",NA,1
"105","size","SID SIDE","MIR_GRP",NA,1
"106","size","SOL BOUR",NA,2022,1
"107","size","SOL BOUR",NA,2022,1
"108","size","SOL BOUR","MIR_GRP",NA,1
"109","size","SOL HYAD",NA,2024,1
"110","size","STE INTE","MIR_GRP",NA,1
