"","metric","variable","REGION","YEAR","significant"
"1","cover","Hard Coral","MIR_GRP",NA,1
"2","cover","Crustose Coralline Algae (CCA)","MIR_GRP",NA,1
"3","cover","Sponge",NA,2022,1
"4","cover","Other",NA,2022,1
"5","cover","Turf Algae",NA,2022,1
"6","cover","Sponge",NA,2024,1
"7","cover","Other",NA,2024,1
"8","cover","Turf Algae",NA,2024,1
"9","density","ACR CERV",NA,2022,1
"10","density","ACR PALM",NA,2022,1
"11","density","COL NATA",NA,2022,1
"12","density","DIC STOK",NA,2022,1
"13","density","MON CAVE",NA,2022,1
"14","density","ORB ANNU",NA,2022,1
"15","density","ORB FAVE",NA,2022,1
"16","density","POR ASTR",NA,2022,1
"17","density","POR PORI",NA,2022,1
"18","density","SID RADI",NA,2022,1
"19","density","SID SIDE",NA,2022,1
"20","density","STE INTE",NA,2022,1
"21","density","ACR CERV",NA,2024,1
"22","density","COL NATA",NA,2024,1
"23","density","DIC STOK",NA,2024,1
"24","density","DIP LABY",NA,2024,1
"25","density","MEA MEAN",NA,2024,1
"26","density","MON CAVE",NA,2024,1
"27","density","ORB ANNU",NA,2024,1
"28","density","ORB FAVE",NA,2024,1
"29","density","POR ASTR",NA,2024,1
"30","density","POR PORI",NA,2024,1
"31","density","PSE CLIV",NA,2024,1
"32","density","PSE STRI",NA,2024,1
"33","density","SID RADI",NA,2024,1
"34","density","SID SIDE",NA,2024,1
"35","density","STE INTE",NA,2024,1
"36","density","ACR CERV","MIR_GRP",NA,1
"37","density","ACR PALM","MIR_GRP",NA,1
"38","density","AGA AGAR","MIR_GRP",NA,1
"39","density","DIC STOK","MIR_GRP",NA,1
"40","density","MEA MEAN","MIR_GRP",NA,1
"41","density","MON CAVE","MIR_GRP",NA,1
"42","density","ORB ANNU","MIR_GRP",NA,1
"43","density","ORB FAVE","MIR_GRP",NA,1
"44","density","POR PORI","MIR_GRP",NA,1
"45","density","PSE CLIV","MIR_GRP",NA,1
"46","density","PSE STRI","MIR_GRP",NA,1
"47","density","SID RADI","MIR_GRP",NA,1
"48","density","SID SIDE","MIR_GRP",NA,1
"49","density","ACR CERV","NCRMP_GRP",NA,1
"50","density","AGA AGAR","NCRMP_GRP",NA,1
"51","density","COL NATA","NCRMP_GRP",NA,1
"52","density","DIC STOK","NCRMP_GRP",NA,1
"53","density","DIP LABY","NCRMP_GRP",NA,1
"54","density","MEA MEAN","NCRMP_GRP",NA,1
"55","density","ORB FAVE","NCRMP_GRP",NA,1
"56","density","POR ASTR","NCRMP_GRP",NA,1
"57","density","POR PORI","NCRMP_GRP",NA,1
"58","density","STE INTE","NCRMP_GRP",NA,1
"59","mortality","ACR CERV",NA,2022,1
"60","mortality","AGA AGAR",NA,2022,1
"61","mortality","MON CAVE",NA,2022,1
"62","mortality","ORB ANNU",NA,2022,1
"63","mortality","ORB FAVE",NA,2022,1
"64","mortality","PSE CLIV",NA,2022,1
"65","mortality","PSE STRI",NA,2022,1
"66","mortality","SID RADI",NA,2022,1
"67","mortality","SID SIDE",NA,2022,1
"68","mortality","AGA AGAR",NA,2024,1
"69","mortality","COL NATA",NA,2024,1
"70","mortality","MEA MEAN",NA,2024,1
"71","mortality","MON CAVE",NA,2024,1
"72","mortality","ORB ANNU",NA,2024,1
"73","mortality","POR PORI",NA,2024,1
"74","mortality","PSE CLIV",NA,2024,1
"75","mortality","PSE STRI",NA,2024,1
"76","mortality","SID RADI",NA,2024,1
"77","mortality","SID SIDE",NA,2024,1
"78","mortality","ACR CERV","MIR_GRP",NA,1
"79","mortality","AGA AGAR","MIR_GRP",NA,1
"80","mortality","COL NATA","MIR_GRP",NA,1
"81","mortality","MEA MEAN","MIR_GRP",NA,1
"82","mortality","ORB ANNU","MIR_GRP",NA,1
"83","mortality","ORB FAVE","MIR_GRP",NA,1
"84","mortality","POR ASTR","MIR_GRP",NA,1
"85","mortality","POR PORI","MIR_GRP",NA,1
"86","mortality","PSE CLIV","MIR_GRP",NA,1
"87","mortality","PSE STRI","MIR_GRP",NA,1
"88","mortality","SID SIDE","MIR_GRP",NA,1
"89","mortality","AGA AGAR","NCRMP_GRP",NA,1
"90","mortality","MON CAVE","NCRMP_GRP",NA,1
"91","mortality","ORB ANNU","NCRMP_GRP",NA,1
"92","mortality","ORB FAVE","NCRMP_GRP",NA,1
"93","mortality","POR ASTR","NCRMP_GRP",NA,1
"94","mortality","POR PORI","NCRMP_GRP",NA,1
"95","mortality","PSE CLIV","NCRMP_GRP",NA,1
"96","mortality","SID RADI","NCRMP_GRP",NA,1
"97","size","DIP LABY",NA,2022,1
"98","size","PSE STRI",NA,2022,1
"99","size","ACR CERV",NA,2024,1
"100","size","COL NATA",NA,2024,1
"101","size","DIP LABY",NA,2024,1
"102","size","EUS FAST",NA,2024,1
"103","size","PSE CLIV",NA,2024,1
"104","size","ACR PALM","MIR_GRP",NA,1
"105","size","DIP LABY","MIR_GRP",NA,1
"106","size","EUS FAST","MIR_GRP",NA,1
"107","size","MEA MEAN","MIR_GRP",NA,1
"108","size","PSE CLIV","MIR_GRP",NA,1
"109","size","ACR CERV","NCRMP_GRP",NA,1
"110","size","COL NATA","NCRMP_GRP",NA,1
"111","size","PSE CLIV","NCRMP_GRP",NA,1
